GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:446203	Asparagine N-linked glycosylation	3.53e-08	3.53e-08	1	ST3GAL1,TMED2,GANAB,ARCN1,KDELR3,GNPNAT1,SPTBN1,RAD23B,ALG2,COPB1,EDEM1,DYNC1LI2,DERL1,SEC31A,USO1,SEC24B,RNF185,ARF1,SEC16A,AMFR,SYVN1,ARF4,RNF139,SPTBN2,RAB1B,ARFGAP3
REAC:948021	Transport to the Golgi and subsequent modification	6.89e-05	6.89e-05	1	TMED2,ARCN1,KDELR3,SPTBN1,COPB1,DYNC1LI2,SEC31A,USO1,SEC24B,ARF1,SEC16A,ARF4,SPTBN2,RAB1B,ARFGAP3
REAC:199977	ER to Golgi Anterograde Transport	1.92e-05	1.92e-05	1	TMED2,ARCN1,KDELR3,SPTBN1,COPB1,DYNC1LI2,SEC31A,USO1,SEC24B,ARF1,SEC16A,ARF4,SPTBN2,RAB1B,ARFGAP3
REAC:6807878	COPI-mediated anterograde transport	1.92e-05	1.92e-05	1	TMED2,ARCN1,KDELR3,SPTBN1,COPB1,DYNC1LI2,USO1,ARF1,ARF4,SPTBN2,RAB1B,ARFGAP3
REAC:6811442	Intra-Golgi and retrograde Golgi-to-ER traffic	0.000846	0.000846	1	TMED2,ARCN1,KDELR3,PLIN3,COPB1,DYNC1LI2,ARF1,SURF4,AGPAT3,KIFC2,ARF4,RAB1B,RAB6A,ARFGAP3
REAC:8856688	Golgi-to-ER retrograde transport	3.81e-05	3.81e-05	1	TMED2,ARCN1,KDELR3,COPB1,DYNC1LI2,ARF1,SURF4,AGPAT3,KIFC2,ARF4,RAB1B,RAB6A,ARFGAP3
REAC:6811434	COPI-dependent Golgi-to-ER retrograde traffic	0.00032	0.00032	1	TMED2,ARCN1,KDELR3,COPB1,ARF1,SURF4,KIFC2,ARF4,RAB1B,ARFGAP3
REAC:68875	Mitotic Prophase	0.039	0.039	1	VRK2,MAPK1,SMC4,GORASP2,NEK6,NUP153,USO1,NCAPD3,RAB1B,NUP62
REAC:1474244	Extracellular matrix organization	0.0165	0.0165	1	CAPN1,LAMC2,ACTN1,FURIN,HSPG2,SERPINH1,ITGB1,ADAM17,ADAM9,PLEC
REAC:187687	Signalling to ERKs	0.0201	0.0201	1	VCL,PSMD5,MAPK1,SPTBN1,DAB2IP,IQGAP1,SHC1,PTK2,SPTBN2,GRB2
REAC:169893	Prolonged ERK activation events	0.0173	0.0173	1	VCL,PSMD5,MAPK1,SPTBN1,DAB2IP,IQGAP1,SHC1,PTK2,SPTBN2,GRB2
REAC:170968	Frs2-mediated activation	0.017	0.017	1	VCL,PSMD5,MAPK1,SPTBN1,DAB2IP,IQGAP1,SHC1,PTK2,SPTBN2,GRB2
REAC:170984	ARMS-mediated activation	0.0169	0.0169	1	VCL,PSMD5,MAPK1,SPTBN1,DAB2IP,IQGAP1,SHC1,PTK2,SPTBN2,GRB2
REAC:187706	Signalling to p38 via RIT and RIN	0.0169	0.0169	1	VCL,PSMD5,MAPK1,SPTBN1,DAB2IP,IQGAP1,SHC1,PTK2,SPTBN2,GRB2
REAC:167044	Signalling to RAS	0.0187	0.0187	1	VCL,PSMD5,MAPK1,SPTBN1,DAB2IP,IQGAP1,SHC1,PTK2,SPTBN2,GRB2
REAC:2404192	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	0.0394	0.0394	1	VCL,PSMD5,MAPK1,SPTBN1,DAB2IP,IQGAP1,SHC1,PTK2,SPTBN2,GRB2
REAC:2428924	IGF1R signaling cascade	0.039	0.039	1	VCL,PSMD5,MAPK1,SPTBN1,DAB2IP,IQGAP1,SHC1,PTK2,SPTBN2,GRB2
REAC:2428928	IRS-related events triggered by IGF1R	0.039	0.039	1	VCL,PSMD5,MAPK1,SPTBN1,DAB2IP,IQGAP1,SHC1,PTK2,SPTBN2,GRB2
REAC:5683057	MAPK family signaling cascades	0.0209	0.0209	1	VCL,MAPK6,PSMD5,MAPK1,SPTBN1,DAB2IP,IQGAP1,SHC1,PTK2,SPTBN2,GRB2
REAC:5684996	MAPK1/MAPK3 signaling	0.017	0.017	1	VCL,PSMD5,MAPK1,SPTBN1,DAB2IP,IQGAP1,SHC1,PTK2,SPTBN2,GRB2
REAC:179812	GRB2 events in EGFR signaling	0.0165	0.0165	1	VCL,PSMD5,MAPK1,SPTBN1,DAB2IP,IQGAP1,SHC1,PTK2,SPTBN2,GRB2
REAC:5654706	FRS-mediated FGFR3 signaling	0.0165	0.0165	1	VCL,PSMD5,MAPK1,SPTBN1,DAB2IP,IQGAP1,SHC1,PTK2,SPTBN2,GRB2
REAC:5654712	FRS-mediated FGFR4 signaling	0.0165	0.0165	1	VCL,PSMD5,MAPK1,SPTBN1,DAB2IP,IQGAP1,SHC1,PTK2,SPTBN2,GRB2
REAC:512988	Interleukin-3, 5 and GM-CSF signaling	0.00506	0.00506	1	GAB2,VCL,PSMD5,MAPK1,SPTBN1,DAB2IP,IQGAP1,SHC1,YWHAZ,PTK2,SPTBN2,GRB2
REAC:5218921	VEGFR2 mediated cell proliferation	0.0193	0.0193	1	VCL,PSMD5,MAPK1,SPTBN1,DAB2IP,IQGAP1,SHC1,PTK2,SPTBN2,GRB2
REAC:180336	SHC1 events in EGFR signaling	0.0165	0.0165	1	VCL,PSMD5,MAPK1,SPTBN1,DAB2IP,IQGAP1,SHC1,PTK2,SPTBN2,GRB2
REAC:74751	Insulin receptor signalling cascade	0.039	0.039	1	VCL,PSMD5,MAPK1,SPTBN1,DAB2IP,IQGAP1,SHC1,PTK2,SPTBN2,GRB2
REAC:112399	IRS-mediated signalling	0.0369	0.0369	1	VCL,PSMD5,MAPK1,SPTBN1,DAB2IP,IQGAP1,SHC1,PTK2,SPTBN2,GRB2
