GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:2555396	Mitotic Metaphase and Anaphase	0.0175	0.0175	1	CDC27,PAFAH1B1,WAPAL,NUP133,DYNC1I2,XPO1,ZW10,PSMC6,PSMA3,MAPRE1,PSMD7,PPP2CB,SMC3,PSMD14,STAG1,CDC16,DYNC1LI2,RANBP2,AHCTF1,PSMC2,RAD21,ANKLE2,DYNC1H1,DYNLL2
REAC:68882	Mitotic Anaphase	0.0165	0.0165	1	CDC27,PAFAH1B1,WAPAL,NUP133,DYNC1I2,XPO1,ZW10,PSMC6,PSMA3,MAPRE1,PSMD7,PPP2CB,SMC3,PSMD14,STAG1,CDC16,DYNC1LI2,RANBP2,AHCTF1,PSMC2,RAD21,ANKLE2,DYNC1H1,DYNLL2
REAC:2467813	Separation of Sister Chromatids	0.0161	0.0161	1	CDC27,PAFAH1B1,WAPAL,NUP133,DYNC1I2,XPO1,ZW10,PSMC6,PSMA3,MAPRE1,PSMD7,PPP2CB,SMC3,PSMD14,STAG1,CDC16,DYNC1LI2,RANBP2,AHCTF1,PSMC2,RAD21,DYNC1H1,DYNLL2
REAC:2408522	Selenoamino acid metabolism	0.0275	0.0275	1	RPL31,RPL34,RPS12,RARS,EEF1E1,LARS,EPRS,RPS24,PAPSS1,RPL7,RPL26,RPL22L1,AIMP1,NNMT,SEPHS2,RPS23,TXNRD1
REAC:2132295	MHC class II antigen presentation	0.0295	0.0295	1	KIFAP3,DYNC1I2,KIF3B,CANX,ACTR10,CTSL,DYNC1LI2,ACTR1A,CLTC,CTSK,KIF5B,SEC24C,CTSO
REAC:446203	Asparagine N-linked glycosylation	0.00301	0.00301	1	DPM1,SEL1L,DYNC1I2,CTSZ,ARFGAP1,BET1,YKT6,SEC23IP,EDEM3,UAP1,SLC17A5,CANX,ACTR10,DYNC1LI2,COG3,ACTR1A,USO1,MARCH6,NUS1,COPG2,RNF139,GOLGB1,SEC24C,TRAPPC6B,COPB2,TMED9,ARFGAP3
REAC:948021	Transport to the Golgi and subsequent modification	0.00639	0.00639	1	DYNC1I2,CTSZ,ARFGAP1,BET1,YKT6,SEC23IP,ACTR10,COG3,ACTR1A,USO1,COPG2,GOLGB1,SEC24C,TRAPPC6B,COPB2,TMED9,ARFGAP3
REAC:199977	ER to Golgi Anterograde Transport	0.000991	0.000991	1	DYNC1I2,CTSZ,ARFGAP1,BET1,YKT6,SEC23IP,ACTR10,DYNC1LI2,COG3,ACTR1A,USO1,COPG2,GOLGB1,SEC24C,TRAPPC6B,COPB2,TMED9,ARFGAP3
REAC:6807878	COPI-mediated anterograde transport	0.000507	0.000507	1	DYNC1I2,ARFGAP1,BET1,YKT6,COPB1,ACTR10,DYNC1LI2,COG3,RAB1A,ACTR1A,USO1,COPG2,GOLGB1,COPB2,TMED9,DYNC1H1,ARFGAP3,DYNLL2
REAC:2022090	Assembly of collagen fibrils and other multimeric structures	0.000217	0.000217	1	LAMC2,PCOLCE,COL1A1,LOXL1,COL5A1,LOXL2,CTSL,COL6A1,COL6A2,COL6A3,COL1A2,COL3A1,COL8A2,COL4A1,COL5A2
