GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:1428517	The citric acid (TCA) cycle and respiratory electron transport	6.18e-25	6.18e-25	1	UQCRC1,HAGH,IDH3G,ATP5D,NDUFB7,ETFB,NDUFC1,NDUFS8,COX6A1,NDUFA8,ATP5E,NDUFA1,COX6B1,UQCR11,ECSIT,COX4I1,NDUFA2,PDHA1,ATP5G2,COX5B,TACO1,NDUFB10,NDUFS6,NDUFB11,NDUFB9,SURF1,NDUFC2,ATP5G1,UQCRQ,COX6C,NDUFB8,NDUFV1,ATP5H,NDUFS5,ATP5I,NDUFA3,NDUFA11,COX8A,NDUFAF3,COX14,COX5A,NDUFB1,UQCR10,NDUFA12,NDUFA13,MT-ND6,MT-CO2,MT-CYB,MT-ND2,MT-CO1,MT-ND3,MT-ND4,MT-ND1,MT-ATP6,MT-CO3,NDUFS3,ATP5J2
REAC:163200	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	1.12e-29	1.12e-29	1	UQCRC1,ATP5D,NDUFB7,ETFB,NDUFC1,NDUFS8,COX6A1,NDUFA8,ATP5E,NDUFA1,COX6B1,UQCR11,ECSIT,COX4I1,NDUFA2,ATP5G2,COX5B,TACO1,NDUFB10,NDUFS6,NDUFB11,NDUFB9,SURF1,NDUFC2,ATP5G1,UQCRQ,COX6C,NDUFB8,NDUFV1,NDUFS5,ATP5I,NDUFA3,NDUFA11,COX8A,NDUFAF3,COX5A,NDUFB1,UQCR10,NDUFA12,NDUFA13,MT-CO2,MT-CYB,MT-ND2,MT-CO1,MT-ND3,MT-ND4,MT-ND1,MT-ATP6,MT-CO3,NDUFS3,ATP5J2
REAC:611105	Respiratory electron transport	8.07e-27	8.07e-27	1	UQCRC1,NDUFB7,ETFB,NDUFC1,NDUFS8,COX6A1,NDUFA8,NDUFA1,COX6B1,UQCR11,ECSIT,COX4I1,NDUFA2,COX5B,TACO1,NDUFB10,NDUFS6,NDUFB11,NDUFB9,SURF1,NDUFC2,UQCRQ,COX6C,NDUFB8,NDUFV1,NDUFS5,NDUFA3,NDUFA11,COX8A,NDUFAF3,COX5A,NDUFB1,UQCR10,NDUFA12,NDUFA13,MT-CO2,MT-CYB,MT-ND2,MT-CO1,MT-ND3,MT-ND4,MT-ND1,MT-CO3,NDUFS3
REAC:6799198	Complex I biogenesis	1.78e-17	1.78e-17	1	NDUFB7,NDUFC1,NDUFS8,NDUFA8,NDUFA1,ECSIT,NDUFA2,NDUFB10,NDUFS6,NDUFB11,NDUFB9,NDUFC2,NDUFB8,NDUFV1,NDUFS5,NDUFA3,NDUFA11,NDUFAF3,NDUFB1,NDUFA12,NDUFA13,MT-ND2,MT-ND3,MT-ND4,MT-ND1,NDUFS3
REAC:1268020	Mitochondrial protein import	7.14e-05	7.14e-05	1	IDH3G,TIMM13,HSCB,TAZ,TIMM50,TIMM17B,GFER,TOMM40,TIMM10,COX17,ATP5G1,NDUFB8,TIMM22,CHCHD10,TIMM23
REAC:202403	TCR signaling	0.0402	0.0402	1	PSMC4,PSMC5,CDC34,VASP,PSMF1,SHFM1,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:202424	Downstream TCR signaling	0.0258	0.0258	1	PSMC4,PSMC5,CDC34,PSMF1,SHFM1,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:5658442	Regulation of RAS by GAPs	0.000946	0.000946	1	PSMC4,PSMC5,RBX1,PSMF1,SHFM1,PSMB6,PSMD4,PSMB4,PSMC3,HRAS,PSMD13,UBA52,PSMB3
REAC:15869	Metabolism of nucleotides	0.00548	0.00548	1	NME3,NME4,NUDT1,DNPH1,DGUOK,NT5C,ITPA,CDA,TK1,APRT,NME1,NUDT18
REAC:169911	Regulation of Apoptosis	0.00155	0.00155	1	PSMC4,PSMC5,PSMF1,SHFM1,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
