GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:168254	Influenza Infection	7.46e-14	7.46e-14	1	RPL31,PABPN1,RPS19,RPL34,RPL22,RPL21,RPL23,RPS15A,RPS24,RPL13A,RPL11,RPL37,RPL7,RPL26,RPS21,RPS23,GTF2F2
REAC:168255	Influenza Life Cycle	3.04e-13	3.04e-13	1	RPL31,RPS19,RPL34,RPL22,RPL21,RPL23,RPS15A,RPS24,RPL13A,RPL11,RPL37,RPL7,RPL26,RPS21,RPS23,GTF2F2
REAC:168273	Influenza Viral RNA Transcription and Replication	1.41e-13	1.41e-13	1	RPL31,RPS19,RPL34,RPL22,RPL21,RPL23,RPS15A,RPS24,RPL13A,RPL11,RPL37,RPL7,RPL26,RPS21,RPS23,GTF2F2
REAC:192823	Viral mRNA Translation	1.21e-14	1.21e-14	1	RPL31,RPS19,RPL34,RPL22,RPL21,RPL23,RPS15A,RPS24,RPL13A,RPL11,RPL37,RPL7,RPL26,RPS21,RPS23
REAC:927802	Nonsense-Mediated Decay (NMD)	2.01e-15	2.01e-15	1	RPL31,RPS19,RPL34,NCBP2,RPL22,RPL21,RPL23,RPS15A,RPS24,RPL13A,RPL11,RPL37,RPL7,RPL26,UPF3A,RPS21,RPS23
REAC:975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	2.01e-15	2.01e-15	1	RPL31,RPS19,RPL34,NCBP2,RPL22,RPL21,RPL23,RPS15A,RPS24,RPL13A,RPL11,RPL37,RPL7,RPL26,UPF3A,RPS21,RPS23
REAC:975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	2.01e-15	2.01e-15	1	RPL31,RPS19,RPL34,NCBP2,RPL22,RPL21,RPL23,RPS15A,RPS24,RPL13A,RPL11,RPL37,RPL7,RPL26,RPS21,RPS23
REAC:72203	Processing of Capped Intron-Containing Pre-mRNA	7.48e-09	7.48e-09	1	CCAR1,SRSF5,PABPN1,PRPF6,SNRNP70,PRPF31,PPWD1,NCBP2,SRSF11,SYF2,SRSF6,HNRNPA1,HNRNPH1,CD2BP2,GTF2F2
REAC:72172	mRNA Splicing	2.4e-10	2.4e-10	1	CCAR1,SRSF5,PABPN1,PRPF6,SNRNP70,PRPF31,PPWD1,NCBP2,SRSF11,SYF2,SRSF6,HNRNPA1,HNRNPH1,CD2BP2,GTF2F2
REAC:72163	mRNA Splicing - Major Pathway	1.07e-10	1.07e-10	1	CCAR1,SRSF5,PABPN1,PRPF6,SNRNP70,PRPF31,PPWD1,NCBP2,SRSF11,SYF2,SRSF6,HNRNPA1,HNRNPH1,CD2BP2,GTF2F2
REAC:72312	rRNA processing	4.78e-10	4.78e-10	1	RPL31,RPS19,RPL34,RPL22,EXOSC8,RPL21,RPL23,RPS15A,RPS24,RPL13A,RPL11,RPL37,RPL7,RPL26,RPS21,RPS23
REAC:2408522	Selenoamino acid metabolism	2.01e-15	2.01e-15	1	RPL31,RPS19,RPL34,RARS,RPL22,RPL21,RPL23,LARS,RPS15A,RPS24,RPL13A,RPL11,RPL37,RPL7,RPL26,RPS21,RPS23
