GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:74751	Insulin receptor signalling cascade	0.0356	0.0356	1	RANBP9,EIF4B,ERBB3,PPP2R5A,PSME4,PSMD5,MAPK1,PSMC6,PPM1A,PSMC1,PPP2CB,MET,LAMTOR3,DUSP16,SPTBN1,FN1,DUSP1,RAP1B,PSME3,PRKAB2,PRKAA1,PTPRA,CAB39,PPP2R1B,PIK3R1,EGFR,SHC1,JAK1,PTPN11,IRS2,PIK3R4,SPTAN1,SPRED2,MTOR,NRAS
REAC:2404192	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	0.0356	0.0356	1	RANBP9,EIF4B,ERBB3,PPP2R5A,PSME4,PSMD5,MAPK1,PSMC6,PPM1A,PSMC1,PPP2CB,MET,LAMTOR3,DUSP16,SPTBN1,FN1,DUSP1,RAP1B,PSME3,PRKAB2,PRKAA1,PTPRA,CAB39,PPP2R1B,PIK3R1,EGFR,SHC1,JAK1,PTPN11,IRS2,PIK3R4,SPTAN1,SPRED2,MTOR,NRAS
REAC:2428924	IGF1R signaling cascade	0.0356	0.0356	1	RANBP9,EIF4B,ERBB3,PPP2R5A,PSME4,PSMD5,MAPK1,PSMC6,PPM1A,PSMC1,PPP2CB,MET,LAMTOR3,DUSP16,SPTBN1,FN1,DUSP1,RAP1B,PSME3,PRKAB2,PRKAA1,PTPRA,CAB39,PPP2R1B,PIK3R1,EGFR,SHC1,JAK1,PTPN11,IRS2,PIK3R4,SPTAN1,SPRED2,MTOR,NRAS
REAC:2428928	IRS-related events triggered by IGF1R	0.0356	0.0356	1	RANBP9,EIF4B,ERBB3,PPP2R5A,PSME4,PSMD5,MAPK1,PSMC6,PPM1A,PSMC1,PPP2CB,MET,LAMTOR3,DUSP16,SPTBN1,FN1,DUSP1,RAP1B,PSME3,PRKAB2,PRKAA1,PTPRA,CAB39,PPP2R1B,PIK3R1,EGFR,SHC1,JAK1,PTPN11,IRS2,PIK3R4,SPTAN1,SPRED2,MTOR,NRAS
REAC:112399	IRS-mediated signalling	0.0316	0.0316	1	RANBP9,EIF4B,ERBB3,PPP2R5A,PSME4,PSMD5,MAPK1,PSMC6,PPM1A,PSMC1,PPP2CB,MET,LAMTOR3,DUSP16,SPTBN1,FN1,DUSP1,RAP1B,PSME3,PRKAB2,PRKAA1,PTPRA,CAB39,PPP2R1B,PIK3R1,EGFR,SHC1,JAK1,PTPN11,IRS2,PIK3R4,SPTAN1,SPRED2,MTOR,NRAS
REAC:199992	trans-Golgi Network Vesicle Budding	5.11e-09	5.11e-09	1	M6PR,TFRC,PICALM,SNAP23,BLOC1S6,GBF1,SH3D19,HSPA8,CLINT1,OCRL,SNX9,AP3B1,PUM1,CLTC,TGOLN2,AP1G1,GOLGB1,YIPF6,ACBD3,HGS,IGF2R,SNX2
REAC:421837	Clathrin derived vesicle budding	5.11e-09	5.11e-09	1	M6PR,TFRC,PICALM,SNAP23,BLOC1S6,GBF1,SH3D19,HSPA8,CLINT1,OCRL,SNX9,AP3B1,PUM1,CLTC,TGOLN2,AP1G1,GOLGB1,YIPF6,ACBD3,HGS,IGF2R,SNX2
REAC:432722	Golgi Associated Vesicle Biogenesis	7.88e-08	7.88e-08	1	TFRC,PICALM,BLOC1S6,SH3D19,HSPA8,CLINT1,OCRL,SNX9,AP3B1,PUM1,CLTC,TGOLN2,AP1G1,GOLGB1,YIPF6,ACBD3,IGF2R,SNX2
REAC:73856	RNA Polymerase II Transcription Termination	7.88e-08	7.88e-08	1	ZC3H11A,U2AF2,PAPOLA,SRSF5,CSTF1,CASC3,SRSF3,SRSF7,SRSF4,SRSF11,SRSF6,SRRM1,SRSF1,CPSF7,CHTOP,SRSF2,SLU7,CPSF2,NUDT21,CSTF3,CSTF2T,DDX39B
REAC:109688	Cleavage of Growing Transcript in the Termination Region 	7.88e-08	7.88e-08	1	ZC3H11A,U2AF2,PAPOLA,SRSF5,CSTF1,CASC3,SRSF3,SRSF7,SRSF4,SRSF11,SRSF6,SRRM1,SRSF1,CPSF7,CHTOP,SRSF2,SLU7,CPSF2,NUDT21,CSTF3,CSTF2T,DDX39B
