GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:162906	HIV Infection	7.93e-06	7.93e-06	1	POLR2J,AP2S1,PSMC5,RBX1,AP1S1,SHFM1,CHMP2A,VPS4A,RAC1,PSMB6,ARF1,TCEB1,PSMD4,PSMB4,VPS28,POLR2H,TAF10,SLC25A6,BANF1,POLR2L,PSMB8,HLA-A,PSMB3
REAC:162909	Host Interactions of HIV factors	4.01e-05	4.01e-05	1	AP2S1,PSMC5,RBX1,AP1S1,SHFM1,RAC1,PSMB6,ARF1,TCEB1,PSMD4,PSMB4,SLC25A6,BANF1,PSMB8,HLA-A,PSMB3
REAC:72312	rRNA processing	0.00395	0.00395	1	TSR3,RPS20,HSD17B10,EXOSC5,RPL19,RPS15,RPL36,RPL27,IMP4,RPL35,RPS2,RPL8,RPL38,EXOSC4,NOP10,RPL37A,RPS28
REAC:1236975	Antigen processing-Cross presentation	0.00171	0.00171	1	PSMC5,STX4,SHFM1,SEC61G,PSMB6,PSMD4,PSMB4,PSMB8,HLA-F,HLA-A,PSMB3
REAC:1236974	ER-Phagosome pathway	0.000552	0.000552	1	PSMC5,STX4,SHFM1,SEC61G,PSMB6,PSMD4,PSMB4,PSMB8,HLA-F,HLA-A,PSMB3
REAC:72203	Processing of Capped Intron-Containing Pre-mRNA	0.0162	0.0162	1	POLR2J,PQBP1,BUD31,DDX39A,SNRPD2,LSM7,TXNL4A,PRCC,SF3B4,SNRNP25,POLR2H,CD2BP2,POLR2L,PUF60,SNRPE
REAC:72172	mRNA Splicing	0.00639	0.00639	1	POLR2J,PQBP1,BUD31,SNRPD2,LSM7,TXNL4A,PRCC,SF3B4,SNRNP25,POLR2H,CD2BP2,POLR2L,PUF60,SNRPE
REAC:72163	mRNA Splicing - Major Pathway	0.0087	0.0087	1	POLR2J,PQBP1,BUD31,SNRPD2,LSM7,TXNL4A,PRCC,SF3B4,POLR2H,CD2BP2,POLR2L,PUF60,SNRPE
REAC:72766	Translation	3.47e-12	3.47e-12	1	RPS20,MRPS34,MRPL28,EEF1D,RPL19,MRPL27,MRPL51,RPS15,MRPS2,MRPS7,MRPS12,RPL36,MRPL34,RPL27,SEC61G,RPL35,RPS2,MRPL24,MRPL17,RPL8,MRPL55,SSR2,MRPL36,MRPL52,RPL38,MRP63,AURKAIP1,TUFM,GADD45GIP1,MRPL14,MRPL41,RPL37A,MRPL23,RPS28,MRPL20,MRPL12,MRPS21
REAC:72764	Eukaryotic Translation Termination	0.00135	0.00135	1	RPS20,RPL19,RPS15,RPL36,RPL27,RPL35,RPS2,RPL8,RPL38,RPL37A,RPS28
REAC:156842	Eukaryotic Translation Elongation	0.000489	0.000489	1	RPS20,EEF1D,RPL19,RPS15,RPL36,RPL27,RPL35,RPS2,RPL8,RPL38,RPL37A,RPS28
REAC:156902	Peptide chain elongation	0.00105	0.00105	1	RPS20,RPL19,RPS15,RPL36,RPL27,RPL35,RPS2,RPL8,RPL38,RPL37A,RPS28
REAC:1799339	SRP-dependent cotranslational protein targeting to membrane	0.000523	0.000523	1	RPS20,RPL19,RPS15,RPL36,RPL27,SEC61G,RPL35,RPS2,RPL8,SSR2,RPL38,RPL37A,RPS28
REAC:72613	Eukaryotic Translation Initiation	0.00492	0.00492	1	RPS20,RPL19,RPS15,RPL36,RPL27,RPL35,RPS2,RPL8,RPL38,RPL37A,RPS28
REAC:156827	L13a-mediated translational silencing of Ceruloplasmin expression	0.00365	0.00365	1	RPS20,RPL19,RPS15,RPL36,RPL27,RPL35,RPS2,RPL8,RPL38,RPL37A,RPS28
REAC:72737	Cap-dependent Translation Initiation	0.00492	0.00492	1	RPS20,RPL19,RPS15,RPL36,RPL27,RPL35,RPS2,RPL8,RPL38,RPL37A,RPS28
