GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:927802	Nonsense-Mediated Decay (NMD)	3.9e-14	3.9e-14	1	RPL26L1,RPL31,RPL6,RPL34,RPS13,NCBP2,RPL22,RPL21,UPF3B,RPL23,RPS15A,RPS24,RPL11,RPS27A,RPS3A,RPL37,RPL7,RPL30,RPL26,RPL22L1,UPF3A,RPS23,RPL39
REAC:975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	3.9e-14	3.9e-14	1	RPL26L1,RPL31,RPL6,RPL34,RPS13,NCBP2,RPL22,RPL21,UPF3B,RPL23,RPS15A,RPS24,RPL11,RPS27A,RPS3A,RPL37,RPL7,RPL30,RPL26,RPL22L1,UPF3A,RPS23,RPL39
REAC:975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	6.11e-14	6.11e-14	1	RPL26L1,RPL31,RPL6,RPL34,RPS13,NCBP2,RPL22,RPL21,RPL23,RPS15A,RPS24,RPL11,RPS27A,RPS3A,RPL37,RPL7,RPL30,RPL26,RPL22L1,RPS23,RPL39
REAC:2408522	Selenoamino acid metabolism	4.46e-14	4.46e-14	1	RPL26L1,RPL31,RPL6,RPL34,RPS13,RPL22,RPL21,EEF1E1,RPL23,LARS,RPS15A,RPS24,RPL11,RPS27A,RPS3A,RPL37,RPL7,RPL30,RPL26,RPL22L1,AIMP1,RPS23,RPL39
REAC:2408557	Selenocysteine synthesis	3.74e-13	3.74e-13	1	RPL26L1,RPL31,RPL6,RPL34,RPS13,RPL22,RPL21,RPL23,RPS15A,RPS24,RPL11,RPS27A,RPS3A,RPL37,RPL7,RPL30,RPL26,RPL22L1,RPS23,RPL39
REAC:72312	rRNA processing	2.18e-17	2.18e-17	1	RPL26L1,NOP58,THUMPD1,RPL31,EXOSC7,RPL6,RPL34,RPS13,NCL,WDR75,RPL22,FCF1,EXOSC8,RPL21,MPHOSPH10,RPL23,DKC1,UTP3,RPS15A,LTV1,RPS24,RPL11,RPS27A,RPS3A,RPL37,RPL7,RPL30,RPL26,RPL22L1,GNL3,DCAF13,BMS1,TRMT112,RPS23,RPL39
REAC:72306	tRNA processing	0.00763	0.00763	1	TRMT11,TRMT1,NUP107,RAN,NUPL2,TPRKB,POP5,TRMT112,PUS1,QTRT1,NSUN6
REAC:2555396	Mitotic Metaphase and Anaphase	0.0121	0.0121	1	XPO1,PSMC6,PSMA3,VRK1,CENPT,NUP107,PSMD14,ZWINT,CDC16,RPS27A,ANKLE2
REAC:68882	Mitotic Anaphase	0.0118	0.0118	1	XPO1,PSMC6,PSMA3,VRK1,CENPT,NUP107,PSMD14,ZWINT,CDC16,RPS27A,ANKLE2
REAC:73856	RNA Polymerase II Transcription Termination	2.67e-10	2.67e-10	1	SRSF5,PABPN1,SRSF3,NCBP2,SRSF7,SRSF11,DDX39A,SRSF6,UPF3B,THOC6,SRSF1,SNRPG,CHTOP,SRSF2,PCF11
REAC:109688	Cleavage of Growing Transcript in the Termination Region 	2.67e-10	2.67e-10	1	SRSF5,PABPN1,SRSF3,NCBP2,SRSF7,SRSF11,DDX39A,SRSF6,UPF3B,THOC6,SRSF1,SNRPG,CHTOP,SRSF2,PCF11
REAC:69620	Cell Cycle Checkpoints	0.0349	0.0349	1	MRE11A,XPO1,UIMC1,PSMC6,PSMA3,CENPT,NUP107,PSMD14,ZWINT,CDC16,RPS27A,RFC4,MCM7
REAC:72766	Translation	2.18e-17	2.18e-17	1	RPL26L1,RPL31,MTIF2,RPL6,MRPS31,EIF3E,EEF1D,MRPL32,RPL34,RPS13,EIF2B1,MRPL51,HARS2,RPL22,RPL21,MTIF3,EEF1E1,RPL23,PTCD3,MRPL35,LARS,RPS15A,MRPS9,RPS24,RPL11,RPS27A,EIF2B5,RPS3A,RPL37,RPL7,RPL30,EIF4A2,RPL26,RPL22L1,AIMP1,MRPL1,TRMT112,RPS23,RPL39
REAC:1799339	SRP-dependent cotranslational protein targeting to membrane	1.38e-11	1.38e-11	1	RPL26L1,RPL31,RPL6,RPL34,RPS13,RPL22,RPL21,RPL23,RPS15A,RPS24,RPL11,RPS27A,RPS3A,RPL37,RPL7,RPL30,RPL26,RPL22L1,RPS23,RPL39
REAC:72764	Eukaryotic Translation Termination	4.46e-14	4.46e-14	1	RPL26L1,RPL31,RPL6,RPL34,RPS13,RPL22,RPL21,RPL23,RPS15A,RPS24,RPL11,RPS27A,RPS3A,RPL37,RPL7,RPL30,RPL26,RPL22L1,TRMT112,RPS23,RPL39
REAC:156842	Eukaryotic Translation Elongation	5.22e-14	5.22e-14	1	RPL26L1,RPL31,RPL6,EEF1D,RPL34,RPS13,RPL22,RPL21,RPL23,RPS15A,RPS24,RPL11,RPS27A,RPS3A,RPL37,RPL7,RPL30,RPL26,RPL22L1,RPS23,RPL39
REAC:156902	Peptide chain elongation	1.69e-13	1.69e-13	1	RPL26L1,RPL31,RPL6,RPL34,RPS13,RPL22,RPL21,RPL23,RPS15A,RPS24,RPL11,RPS27A,RPS3A,RPL37,RPL7,RPL30,RPL26,RPL22L1,RPS23,RPL39
REAC:72613	Eukaryotic Translation Initiation	1.24e-14	1.24e-14	1	RPL26L1,RPL31,RPL6,EIF3E,RPL34,RPS13,EIF2B1,RPL22,RPL21,RPL23,RPS15A,RPS24,RPL11,RPS27A,EIF2B5,RPS3A,RPL37,RPL7,RPL30,EIF4A2,RPL26,RPL22L1,RPS23,RPL39
REAC:156827	L13a-mediated translational silencing of Ceruloplasmin expression	1.32e-13	1.32e-13	1	RPL26L1,RPL31,RPL6,EIF3E,RPL34,RPS13,RPL22,RPL21,RPL23,RPS15A,RPS24,RPL11,RPS27A,RPS3A,RPL37,RPL7,RPL30,EIF4A2,RPL26,RPL22L1,RPS23,RPL39
REAC:72737	Cap-dependent Translation Initiation	1.24e-14	1.24e-14	1	RPL26L1,RPL31,RPL6,EIF3E,RPL34,RPS13,EIF2B1,RPL22,RPL21,RPL23,RPS15A,RPS24,RPL11,RPS27A,EIF2B5,RPS3A,RPL37,RPL7,RPL30,EIF4A2,RPL26,RPL22L1,RPS23,RPL39
REAC:72689	Formation of a pool of free 40S subunits	1.69e-13	1.69e-13	1	RPL26L1,RPL31,RPL6,EIF3E,RPL34,RPS13,RPL22,RPL21,RPL23,RPS15A,RPS24,RPL11,RPS27A,RPS3A,RPL37,RPL7,RPL30,RPL26,RPL22L1,RPS23,RPL39
REAC:72706	GTP hydrolysis and joining of the 60S ribosomal subunit	1.51e-13	1.51e-13	1	RPL26L1,RPL31,RPL6,EIF3E,RPL34,RPS13,RPL22,RPL21,RPL23,RPS15A,RPS24,RPL11,RPS27A,RPS3A,RPL37,RPL7,RPL30,EIF4A2,RPL26,RPL22L1,RPS23,RPL39
REAC:168254	Influenza Infection	3.9e-14	3.9e-14	1	RPL26L1,RPL31,XPO1,RPL6,PABPN1,RPL34,RPS13,NUP107,RPL22,RPL21,RPL23,RAN,RPS15A,NUPL2,RPS24,RPL11,RPS27A,RPS3A,RPL37,RPL7,RPL30,RPL26,RPL22L1,RPS23,GTF2F2,RPL39
REAC:168255	Influenza Life Cycle	4.46e-14	4.46e-14	1	RPL26L1,RPL31,XPO1,RPL6,RPL34,RPS13,NUP107,RPL22,RPL21,RPL23,RAN,RPS15A,NUPL2,RPS24,RPL11,RPS27A,RPS3A,RPL37,RPL7,RPL30,RPL26,RPL22L1,RPS23,GTF2F2,RPL39
REAC:168273	Influenza Viral RNA Transcription and Replication	5.66e-13	5.66e-13	1	RPL26L1,RPL31,RPL6,RPL34,RPS13,NUP107,RPL22,RPL21,RPL23,RPS15A,NUPL2,RPS24,RPL11,RPS27A,RPS3A,RPL37,RPL7,RPL30,RPL26,RPL22L1,RPS23,GTF2F2,RPL39
REAC:192823	Viral mRNA Translation	1.69e-13	1.69e-13	1	RPL26L1,RPL31,RPL6,RPL34,RPS13,RPL22,RPL21,RPL23,RPS15A,RPS24,RPL11,RPS27A,RPS3A,RPL37,RPL7,RPL30,RPL26,RPL22L1,RPS23,RPL39
REAC:72203	Processing of Capped Intron-Containing Pre-mRNA	1.33e-28	1.33e-28	1	RBM5,CCAR1,SRRT,HNRNPC,HNRNPM,SNW1,SRSF5,PABPN1,SNRNP70,LSM5,NUP107,SRSF3,PPWD1,NCBP2,SF3B1,SRSF7,SRSF11,PRPF3,SYF2,WBP4,HNRNPA2B1,DDX39A,SRSF6,UPF3B,THOC6,RBM17,HNRNPA1,NUPL2,SRSF1,HNRNPD,SNRPG,WTAP,RBMX,CWC15,CWC27,CHTOP,SRSF2,CWC22,U2SURP,PCF11,METTL3,HNRNPH1,HNRNPA3,PLRG1,GTF2F2,SRSF10,PRPF40A
REAC:72202	Transport of Mature Transcript to Cytoplasm	7.15e-08	7.15e-08	1	SRSF5,NUP107,SRSF3,NCBP2,SRSF7,SRSF11,DDX39A,SRSF6,UPF3B,THOC6,NUPL2,SRSF1,CHTOP,SRSF2
REAC:159236	Transport of Mature mRNA derived from an Intron-Containing Transcript	1.56e-08	1.56e-08	1	SRSF5,NUP107,SRSF3,NCBP2,SRSF7,SRSF11,DDX39A,SRSF6,UPF3B,THOC6,NUPL2,SRSF1,CHTOP,SRSF2
REAC:72187	mRNA 3'-end processing	4.24e-10	4.24e-10	1	SRSF5,PABPN1,SRSF3,NCBP2,SRSF7,SRSF11,DDX39A,SRSF6,UPF3B,THOC6,SRSF1,CHTOP,SRSF2,PCF11
REAC:72172	mRNA Splicing	4.84e-26	4.84e-26	1	RBM5,CCAR1,SRRT,HNRNPC,HNRNPM,SNW1,SRSF5,PABPN1,SNRNP70,LSM5,SRSF3,PPWD1,NCBP2,SF3B1,SRSF7,SRSF11,PRPF3,SYF2,WBP4,HNRNPA2B1,SRSF6,UPF3B,RBM17,HNRNPA1,SRSF1,HNRNPD,SNRPG,RBMX,CWC15,CWC27,SRSF2,CWC22,U2SURP,PCF11,HNRNPH1,HNRNPA3,PLRG1,GTF2F2,SRSF10,PRPF40A
REAC:72163	mRNA Splicing - Major Pathway	6.18e-27	6.18e-27	1	RBM5,CCAR1,SRRT,HNRNPC,HNRNPM,SNW1,SRSF5,PABPN1,SNRNP70,LSM5,SRSF3,PPWD1,NCBP2,SF3B1,SRSF7,SRSF11,PRPF3,SYF2,WBP4,HNRNPA2B1,SRSF6,UPF3B,RBM17,HNRNPA1,SRSF1,HNRNPD,SNRPG,RBMX,CWC15,CWC27,SRSF2,CWC22,U2SURP,PCF11,HNRNPH1,HNRNPA3,PLRG1,GTF2F2,SRSF10,PRPF40A
REAC:162906	HIV Infection	0.0047	0.0047	1	MNAT1,XPO1,PSMC6,PSMA3,NUP107,NCBP2,PSMD14,RAN,NUPL2,RPS27A,ERCC3,FEN1,TAF7,NPM1,GTF2F2
REAC:162587	HIV Life Cycle	0.00925	0.00925	1	MNAT1,XPO1,NUP107,NCBP2,RAN,NUPL2,RPS27A,ERCC3,FEN1,TAF7,GTF2F2
REAC:162599	Late Phase of HIV Life Cycle	0.0149	0.0149	1	MNAT1,XPO1,NUP107,NCBP2,RAN,NUPL2,RPS27A,ERCC3,TAF7,GTF2F2
REAC:4839726	Chromatin organization	0.00677	0.00677	-1	ACTB,NCOA1,BRPF3,SETD1A,EP300,WDR77,SETD1B,GATAD2B,TAF10,GATAD2A,TADA3,HCFC1,RELA,NCOR2,EHMT2
REAC:3247509	Chromatin modifying enzymes	0.00677	0.00677	-1	ACTB,NCOA1,BRPF3,SETD1A,EP300,WDR77,SETD1B,GATAD2B,TAF10,GATAD2A,TADA3,HCFC1,RELA,NCOR2,EHMT2
