term.id	term.name	adjusted.p.val
GO:0001505	regulation of neurotransmitter levels	2.32107416169897e-05
GO:0001655	urogenital system development	0.00779678938909482
GO:0001656	metanephros development	0.00133341738404362
GO:0001819	positive regulation of cytokine production	6.27811187456161e-05
GO:0002009	morphogenesis of an epithelium	0.0085273583439554
GO:0002237	response to molecule of bacterial origin	6.98969826950832e-05
GO:0002279	mast cell activation involved in immune response	1.58826021965317e-05
GO:0002283	neutrophil activation involved in immune response	1.52315851333182e-05
GO:0002286	T cell activation involved in immune response	0.00263531594105403
GO:0002446	neutrophil mediated immunity	2.16598081690891e-05
GO:0002448	mast cell mediated immunity	2.51070818248919e-05
GO:0002478	antigen processing and presentation of exogenous peptide antigen	1.64987202189808e-05
GO:0002495	antigen processing and presentation of peptide antigen via MHC class II	2.2729490040763e-07
GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	5.8900062042026e-08
GO:0002526	acute inflammatory response	0.000154473070861248
GO:0002685	regulation of leukocyte migration	0.000369546189050881
GO:0002695	negative regulation of leukocyte activation	0.000181226071704447
GO:0002696	positive regulation of leukocyte activation	6.92148583373259e-07
GO:0002697	regulation of immune effector process	4.47156024827969e-05
GO:0002699	positive regulation of immune effector process	0.000453458191652554
GO:0002703	regulation of leukocyte mediated immunity	6.57946073050091e-05
GO:0002791	regulation of peptide secretion	5.8311693997275e-05
GO:0002886	regulation of myeloid leukocyte mediated immunity	1.79347764439021e-06
GO:0003002	regionalization	9.29238991109259e-16
GO:0006813	potassium ion transport	5.66309431280584e-10
GO:0006816	calcium ion transport	2.60795395704452e-08
GO:0006821	chloride transport	6.07005190999624e-05
GO:0006836	neurotransmitter transport	2.00629177617011e-10
GO:0006865	amino acid transport	0.00301356483011459
GO:0006874	cellular calcium ion homeostasis	2.45765742882042e-09
GO:0006968	cellular defense response	1.34521129728967e-05
GO:0007159	leukocyte cell-cell adhesion	3.89924338532513e-10
GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	3.58519296395565e-11
GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	8.69694566264985e-10
GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	0.000576751151581558
GO:0007200	phospholipase C-activating G protein-coupled receptor signaling pathway	1.26085788928969e-07
GO:0007204	positive regulation of cytosolic calcium ion concentration	4.92479879470018e-07
GO:0007214	gamma-aminobutyric acid signaling pathway	4.20340374105683e-06
GO:0007215	glutamate receptor signaling pathway	1.90595521243821e-09
GO:0007218	neuropeptide signaling pathway	4.76220984236667e-09
GO:0007229	integrin-mediated signaling pathway	0.00799979520185906
GO:0007269	neurotransmitter secretion	6.33275758124503e-06
GO:0007389	pattern specification process	7.4956060000784e-13
GO:0007409	axonogenesis	4.96425234968154e-05
GO:0007416	synapse assembly	9.5787448543195e-05
GO:0007605	sensory perception of sound	0.00465106572329011
GO:0007611	learning or memory	1.86893710182606e-16
GO:0007612	learning	1.77538892007811e-08
GO:0007613	memory	6.19957209722835e-10
GO:0007626	locomotory behavior	4.31142280778379e-08
GO:0007631	feeding behavior	0.000979257727666399
GO:0008344	adult locomotory behavior	0.0053209203416043
GO:0009914	hormone transport	5.02177695056307e-05
GO:0009952	anterior/posterior pattern specification	4.54501507436639e-18
GO:0009954	proximal/distal pattern formation	2.16037549877068e-06
GO:0010038	response to metal ion	8.1749789026214e-06
GO:0010959	regulation of metal ion transport	0.000119298786985537
GO:0010975	regulation of neuron projection development	0.00803860191731713
GO:0014047	glutamate secretion	0.00349301789400538
GO:0015698	inorganic anion transport	0.00657213827568902
GO:0015837	amine transport	0.000120897337086005
GO:0015844	monoamine transport	3.64858258166195e-05
GO:0016079	synaptic vesicle exocytosis	0.000126725741513572
GO:0017156	calcium ion regulated exocytosis	2.33453137912888e-06
GO:0017157	regulation of exocytosis	9.24307657408053e-15
GO:0017158	regulation of calcium ion-dependent exocytosis	2.66679088955349e-05
GO:0018108	peptidyl-tyrosine phosphorylation	0.00761476162328381
GO:0018212	peptidyl-tyrosine modification	0.00967544360801987
GO:0019233	sensory perception of pain	0.00167347617670413
GO:0019722	calcium-mediated signaling	0.00595872410195112
GO:0019882	antigen processing and presentation	4.59989566832193e-05
GO:0019884	antigen processing and presentation of exogenous antigen	5.69299992859518e-05
GO:0019886	antigen processing and presentation of exogenous peptide antigen via MHC class II	1.17687758866349e-07
GO:0019932	second-messenger-mediated signaling	6.20395433154497e-11
GO:0019933	cAMP-mediated signaling	0.000352343672085765
GO:0019935	cyclic-nucleotide-mediated signaling	1.1718092826489e-05
GO:0021537	telencephalon development	1.57475279543979e-05
GO:0021549	cerebellum development	0.00386369934601009
GO:0021700	developmental maturation	0.00422395761607445
GO:0021871	forebrain regionalization	0.00532164100539264
GO:0022037	metencephalon development	0.00278983255376207
GO:0022407	regulation of cell-cell adhesion	3.5835093102433e-08
GO:0022409	positive regulation of cell-cell adhesion	2.30135224210388e-09
GO:0022898	regulation of transmembrane transporter activity	9.40271368847235e-07
GO:0023061	signal release	1.46632338152999e-09
GO:0030072	peptide hormone secretion	0.00103688456506519
GO:0030073	insulin secretion	0.00682193397539292
GO:0030098	lymphocyte differentiation	2.10282477123784e-05
GO:0030198	extracellular matrix organization	2.12931477726675e-14
GO:0030199	collagen fibril organization	0.00126430389647056
GO:0030217	T cell differentiation	2.47939234831236e-05
GO:0030326	embryonic limb morphogenesis	4.78534818889308e-07
GO:0030534	adult behavior	1.37071946121063e-07
GO:0030595	leukocyte chemotaxis	0.000907232510762725
GO:0030878	thyroid gland development	0.000719648751313434
GO:0030900	forebrain development	2.21256283312445e-06
GO:0030902	hindbrain development	0.000251338800467788
GO:0031644	regulation of neurological system process	7.50817538835385e-05
GO:0032409	regulation of transporter activity	1.95839809867376e-06
GO:0032412	regulation of ion transmembrane transporter activity	1.61059205301914e-06
GO:0032418	lysosome localization	0.00387293445231042
GO:0032496	response to lipopolysaccharide	0.000579676341575193
GO:0032609	interferon-gamma production	0.000483725372791351
GO:0032623	interleukin-2 production	0.00185701713503217
GO:0032633	interleukin-4 production	0.00211080869977386
GO:0032640	tumor necrosis factor production	0.000553389620843746
GO:0032680	regulation of tumor necrosis factor production	0.000384336599725286
GO:0032760	positive regulation of tumor necrosis factor production	0.00056708793225882
GO:0032943	mononuclear cell proliferation	2.24833767192604e-09
GO:0032944	regulation of mononuclear cell proliferation	3.7544227413444e-10
GO:0032946	positive regulation of mononuclear cell proliferation	6.4202661035074e-08
GO:0033003	regulation of mast cell activation	0.00129750165435838
GO:0033006	regulation of mast cell activation involved in immune response	0.00619499323046064
GO:0033555	multicellular organismal response to stress	0.000159766622515728
GO:0033627	cell adhesion mediated by integrin	0.00744952415072054
GO:0034341	response to interferon-gamma	8.5271426684693e-05
GO:0034765	regulation of ion transmembrane transport	4.08036702000645e-17
GO:0035107	appendage morphogenesis	2.65884048458289e-06
GO:0035108	limb morphogenesis	2.65884048458289e-06
GO:0035113	embryonic appendage morphogenesis	4.78534818889308e-07
GO:0035115	embryonic forelimb morphogenesis	0.00247119710298938
GO:0035136	forelimb morphogenesis	0.000395185833521008
GO:0035249	synaptic transmission, glutamatergic	2.48513570639814e-09
GO:0035270	endocrine system development	0.0028430961025942
GO:0035418	protein localization to synapse	5.60894321435408e-06
GO:0035637	multicellular organismal signaling	0.000103433273432385
GO:0035640	exploration behavior	0.000298118208414082
GO:0042035	regulation of cytokine biosynthetic process	0.00106715314028247
GO:0042089	cytokine biosynthetic process	0.000737418012401938
GO:0042098	T cell proliferation	9.60756793085409e-10
GO:0042102	positive regulation of T cell proliferation	5.6123462695094e-07
GO:0042107	cytokine metabolic process	0.000906642873586796
GO:0042108	positive regulation of cytokine biosynthetic process	0.000749576350565683
GO:0042110	T cell activation	5.14529870057195e-13
GO:0042116	macrophage activation	4.23159036843358e-05
GO:0042119	neutrophil activation	3.69736674159754e-06
GO:0042129	regulation of T cell proliferation	1.16183549352107e-08
GO:0042391	regulation of membrane potential	8.29762678084939e-21
GO:0042596	fear response	0.00380798860681563
GO:0043062	extracellular structure organization	6.78043876662768e-13
GO:0043270	positive regulation of ion transport	6.50326537005834e-05
GO:0043300	regulation of leukocyte degranulation	1.46944312097729e-06
GO:0043303	mast cell degranulation	9.87785642505947e-06
GO:0043304	regulation of mast cell degranulation	0.00384086915505213
GO:0043312	neutrophil degranulation	2.44391497803221e-05
GO:0043524	negative regulation of neuron apoptotic process	0.00952676212921988
GO:0043583	ear development	0.000316591787437602
GO:0045165	cell fate commitment	0.00178258770431571
GO:0045576	mast cell activation	9.06063852600562e-06
GO:0045582	positive regulation of T cell differentiation	0.00669511496517421
GO:0045621	positive regulation of lymphocyte differentiation	0.00549363169790419
GO:0045785	positive regulation of cell adhesion	1.13544106904779e-09
GO:0045921	positive regulation of exocytosis	0.000119741422024642
GO:0046631	alpha-beta T cell activation	9.67323003159707e-06
GO:0046632	alpha-beta T cell differentiation	0.00198705817729965
GO:0046635	positive regulation of alpha-beta T cell activation	0.00335114151864863
GO:0046641	positive regulation of alpha-beta T cell proliferation	0.0065192130832387
GO:0046651	lymphocyte proliferation	1.5806161749158e-09
GO:0046879	hormone secretion	7.33778278247888e-05
GO:0048002	antigen processing and presentation of peptide antigen	3.08114408230578e-05
GO:0048167	regulation of synaptic plasticity	1.22368327676206e-17
GO:0048168	regulation of neuronal synaptic plasticity	1.64889563589042e-08
GO:0048172	regulation of short-term neuronal synaptic plasticity	7.14400269391545e-06
GO:0048489	synaptic vesicle transport	7.10374665393229e-05
GO:0048562	embryonic organ morphogenesis	4.82827331229514e-11
GO:0048568	embryonic organ development	2.36564087394703e-09
GO:0048704	embryonic skeletal system morphogenesis	2.99590435493263e-18
GO:0048705	skeletal system morphogenesis	4.38970930146424e-14
GO:0048706	embryonic skeletal system development	7.66544321857591e-19
GO:0048732	gland development	0.00381156697874133
GO:0048736	appendage development	1.21306131411238e-06
GO:0048791	calcium ion-regulated exocytosis of neurotransmitter	0.000269601425182909
GO:0048839	inner ear development	0.00244372854662477
