term.id	ENSG00000215196	ENSG00000239552	ENSG00000254271	ENSG00000254635	ENSG00000231265	ENSG00000253187	ENSG00000256482	ENSG00000228021	ENSG00000224950	ENSG00000225511	ENSG00000255020	ENSG00000261889	combined	instruct
GO:0001505	1	0	0	0	0	0	0	0	0	0	0	0	0	piechart: attributelist="ENSG00000215196,ENSG00000239552,ENSG00000254271,ENSG00000254635,ENSG00000231265,ENSG00000253187,ENSG00000256482,ENSG00000228021,ENSG00000224950,ENSG00000225511,ENSG00000255020,ENSG00000261889,combined" colorlist="#FF0000FF,#FF7600FF,#FFEB00FF,#9DFF00FF,#27FF00FF,#00FF4EFF,#00FFC4FF,#00C4FFFF,#004EFFFF,#2700FFFF,#9D00FFFF,#FF00EBFF,#FF0076FF" showlabels=FALSE
GO:0001655	0	1	1	1	0	0	0	0	0	0	0	0	0	piechart: attributelist="ENSG00000215196,ENSG00000239552,ENSG00000254271,ENSG00000254635,ENSG00000231265,ENSG00000253187,ENSG00000256482,ENSG00000228021,ENSG00000224950,ENSG00000225511,ENSG00000255020,ENSG00000261889,combined" colorlist="#FF0000FF,#FF7600FF,#FFEB00FF,#9DFF00FF,#27FF00FF,#00FF4EFF,#00FFC4FF,#00C4FFFF,#004EFFFF,#2700FFFF,#9D00FFFF,#FF00EBFF,#FF0076FF" showlabels=FALSE
GO:0001656	0	1	0	0	0	0	0	0	0	0	0	0	0	piechart: attributelist="ENSG00000215196,ENSG00000239552,ENSG00000254271,ENSG00000254635,ENSG00000231265,ENSG00000253187,ENSG00000256482,ENSG00000228021,ENSG00000224950,ENSG00000225511,ENSG00000255020,ENSG00000261889,combined" colorlist="#FF0000FF,#FF7600FF,#FFEB00FF,#9DFF00FF,#27FF00FF,#00FF4EFF,#00FFC4FF,#00C4FFFF,#004EFFFF,#2700FFFF,#9D00FFFF,#FF00EBFF,#FF0076FF" showlabels=FALSE
GO:0001819	1	0	0	0	1	0	0	0	0	0	0	0	0	piechart: attributelist="ENSG00000215196,ENSG00000239552,ENSG00000254271,ENSG00000254635,ENSG00000231265,ENSG00000253187,ENSG00000256482,ENSG00000228021,ENSG00000224950,ENSG00000225511,ENSG00000255020,ENSG00000261889,combined" colorlist="#FF0000FF,#FF7600FF,#FFEB00FF,#9DFF00FF,#27FF00FF,#00FF4EFF,#00FFC4FF,#00C4FFFF,#004EFFFF,#2700FFFF,#9D00FFFF,#FF00EBFF,#FF0076FF" showlabels=FALSE
GO:0002009	0	1	1	1	0	1	1	0	0	0	0	0	0	piechart: attributelist="ENSG00000215196,ENSG00000239552,ENSG00000254271,ENSG00000254635,ENSG00000231265,ENSG00000253187,ENSG00000256482,ENSG00000228021,ENSG00000224950,ENSG00000225511,ENSG00000255020,ENSG00000261889,combined" colorlist="#FF0000FF,#FF7600FF,#FFEB00FF,#9DFF00FF,#27FF00FF,#00FF4EFF,#00FFC4FF,#00C4FFFF,#004EFFFF,#2700FFFF,#9D00FFFF,#FF00EBFF,#FF0076FF" showlabels=FALSE
GO:0002237	1	0	0	0	1	0	0	1	0	0	0	0	0	piechart: attributelist="ENSG00000215196,ENSG00000239552,ENSG00000254271,ENSG00000254635,ENSG00000231265,ENSG00000253187,ENSG00000256482,ENSG00000228021,ENSG00000224950,ENSG00000225511,ENSG00000255020,ENSG00000261889,combined" colorlist="#FF0000FF,#FF7600FF,#FFEB00FF,#9DFF00FF,#27FF00FF,#00FF4EFF,#00FFC4FF,#00C4FFFF,#004EFFFF,#2700FFFF,#9D00FFFF,#FF00EBFF,#FF0076FF" showlabels=FALSE
GO:0002279	1	0	0	0	0	0	0	0	0	0	0	0	0	piechart: attributelist="ENSG00000215196,ENSG00000239552,ENSG00000254271,ENSG00000254635,ENSG00000231265,ENSG00000253187,ENSG00000256482,ENSG00000228021,ENSG00000224950,ENSG00000225511,ENSG00000255020,ENSG00000261889,combined" colorlist="#FF0000FF,#FF7600FF,#FFEB00FF,#9DFF00FF,#27FF00FF,#00FF4EFF,#00FFC4FF,#00C4FFFF,#004EFFFF,#2700FFFF,#9D00FFFF,#FF00EBFF,#FF0076FF" showlabels=FALSE
GO:0002283	1	0	0	0	1	0	0	0	0	0	0	0	0	piechart: attributelist="ENSG00000215196,ENSG00000239552,ENSG00000254271,ENSG00000254635,ENSG00000231265,ENSG00000253187,ENSG00000256482,ENSG00000228021,ENSG00000224950,ENSG00000225511,ENSG00000255020,ENSG00000261889,combined" colorlist="#FF0000FF,#FF7600FF,#FFEB00FF,#9DFF00FF,#27FF00FF,#00FF4EFF,#00FFC4FF,#00C4FFFF,#004EFFFF,#2700FFFF,#9D00FFFF,#FF00EBFF,#FF0076FF" showlabels=FALSE
GO:0002286	1	0	0	0	1	0	0	0	0	0	0	0	0	piechart: attributelist="ENSG00000215196,ENSG00000239552,ENSG00000254271,ENSG00000254635,ENSG00000231265,ENSG00000253187,ENSG00000256482,ENSG00000228021,ENSG00000224950,ENSG00000225511,ENSG00000255020,ENSG00000261889,combined" colorlist="#FF0000FF,#FF7600FF,#FFEB00FF,#9DFF00FF,#27FF00FF,#00FF4EFF,#00FFC4FF,#00C4FFFF,#004EFFFF,#2700FFFF,#9D00FFFF,#FF00EBFF,#FF0076FF" showlabels=FALSE
GO:0002446	1	0	0	0	1	0	0	1	0	0	0	0	0	piechart: attributelist="ENSG00000215196,ENSG00000239552,ENSG00000254271,ENSG00000254635,ENSG00000231265,ENSG00000253187,ENSG00000256482,ENSG00000228021,ENSG00000224950,ENSG00000225511,ENSG00000255020,ENSG00000261889,combined" colorlist="#FF0000FF,#FF7600FF,#FFEB00FF,#9DFF00FF,#27FF00FF,#00FF4EFF,#00FFC4FF,#00C4FFFF,#004EFFFF,#2700FFFF,#9D00FFFF,#FF00EBFF,#FF0076FF" showlabels=FALSE
GO:0002448	1	0	0	0	0	0	0	0	0	0	0	0	0	piechart: attributelist="ENSG00000215196,ENSG00000239552,ENSG00000254271,ENSG00000254635,ENSG00000231265,ENSG00000253187,ENSG00000256482,ENSG00000228021,ENSG00000224950,ENSG00000225511,ENSG00000255020,ENSG00000261889,combined" colorlist="#FF0000FF,#FF7600FF,#FFEB00FF,#9DFF00FF,#27FF00FF,#00FF4EFF,#00FFC4FF,#00C4FFFF,#004EFFFF,#2700FFFF,#9D00FFFF,#FF00EBFF,#FF0076FF" showlabels=FALSE
GO:0002478	0	0	0	0	1	0	0	1	1	0	0	0	0	piechart: attributelist="ENSG00000215196,ENSG00000239552,ENSG00000254271,ENSG00000254635,ENSG00000231265,ENSG00000253187,ENSG00000256482,ENSG00000228021,ENSG00000224950,ENSG00000225511,ENSG00000255020,ENSG00000261889,combined" colorlist="#FF0000FF,#FF7600FF,#FFEB00FF,#9DFF00FF,#27FF00FF,#00FF4EFF,#00FFC4FF,#00C4FFFF,#004EFFFF,#2700FFFF,#9D00FFFF,#FF00EBFF,#FF0076FF" showlabels=FALSE
GO:0002495	1	0	0	0	1	1	1	1	1	0	0	0	0	piechart: attributelist="ENSG00000215196,ENSG00000239552,ENSG00000254271,ENSG00000254635,ENSG00000231265,ENSG00000253187,ENSG00000256482,ENSG00000228021,ENSG00000224950,ENSG00000225511,ENSG00000255020,ENSG00000261889,combined" colorlist="#FF0000FF,#FF7600FF,#FFEB00FF,#9DFF00FF,#27FF00FF,#00FF4EFF,#00FFC4FF,#00C4FFFF,#004EFFFF,#2700FFFF,#9D00FFFF,#FF00EBFF,#FF0076FF" showlabels=FALSE
GO:0002504	1	0	0	0	1	1	1	1	1	0	0	0	0	piechart: attributelist="ENSG00000215196,ENSG00000239552,ENSG00000254271,ENSG00000254635,ENSG00000231265,ENSG00000253187,ENSG00000256482,ENSG00000228021,ENSG00000224950,ENSG00000225511,ENSG00000255020,ENSG00000261889,combined" colorlist="#FF0000FF,#FF7600FF,#FFEB00FF,#9DFF00FF,#27FF00FF,#00FF4EFF,#00FFC4FF,#00C4FFFF,#004EFFFF,#2700FFFF,#9D00FFFF,#FF00EBFF,#FF0076FF" showlabels=FALSE
GO:0002526	1	0	0	0	1	0	0	1	0	0	0	0	0	piechart: attributelist="ENSG00000215196,ENSG00000239552,ENSG00000254271,ENSG00000254635,ENSG00000231265,ENSG00000253187,ENSG00000256482,ENSG00000228021,ENSG00000224950,ENSG00000225511,ENSG00000255020,ENSG00000261889,combined" colorlist="#FF0000FF,#FF7600FF,#FFEB00FF,#9DFF00FF,#27FF00FF,#00FF4EFF,#00FFC4FF,#00C4FFFF,#004EFFFF,#2700FFFF,#9D00FFFF,#FF00EBFF,#FF0076FF" showlabels=FALSE
GO:0002685	1	0	0	0	1	0	0	1	0	0	0	0	0	piechart: attributelist="ENSG00000215196,ENSG00000239552,ENSG00000254271,ENSG00000254635,ENSG00000231265,ENSG00000253187,ENSG00000256482,ENSG00000228021,ENSG00000224950,ENSG00000225511,ENSG00000255020,ENSG00000261889,combined" colorlist="#FF0000FF,#FF7600FF,#FFEB00FF,#9DFF00FF,#27FF00FF,#00FF4EFF,#00FFC4FF,#00C4FFFF,#004EFFFF,#2700FFFF,#9D00FFFF,#FF00EBFF,#FF0076FF" showlabels=FALSE
GO:0002695	1	0	0	0	1	0	0	0	0	0	0	0	0	piechart: attributelist="ENSG00000215196,ENSG00000239552,ENSG00000254271,ENSG00000254635,ENSG00000231265,ENSG00000253187,ENSG00000256482,ENSG00000228021,ENSG00000224950,ENSG00000225511,ENSG00000255020,ENSG00000261889,combined" colorlist="#FF0000FF,#FF7600FF,#FFEB00FF,#9DFF00FF,#27FF00FF,#00FF4EFF,#00FFC4FF,#00C4FFFF,#004EFFFF,#2700FFFF,#9D00FFFF,#FF00EBFF,#FF0076FF" showlabels=FALSE
