GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:446203	Asparagine N-linked glycosylation	5.03e-06	5.03e-06	1	ST3GAL1,MGAT4A,SEL1L,NSF,LMAN1,DYNC1I2,CD59,B4GALT1,TMED2,GANAB,ARCN1,CNIH1,SEC23A,MAGT1,PPP6R1,SEC23IP,GBF1,GOSR1,MAN1A1,ST8SIA4,MOGS,SPTBN1,EDEM3,RAD23B,PPP6C,SLC17A5,COPA,TBC1D20,CANX,PRKCSH,MGAT1,ACTR10,DCTN4,EDEM1,ARF3,STT3A,TMED7,DYNC1LI2,COG3,UGGT1,DCTN3,RAB1A,SEC31A,USO1,SEC24B,CSNK1D,ARF1,MARCH6,SEC16A,MGAT5,SAR1B,MIA3,B4GALT5,B4GALT3,AMFR,GNE,ST6GALNAC6,SYVN1,TGFA,VCP,DCTN5,ARF4,TMED10,RNF139,DPAGT1,MANEA,RAB1B,DOLK,SEC24C,BET1L,MPI,CALR,MCFD2,TRAPPC6B,F8,DYNC1H1,SPTAN1,MAN1A2,GFPT1,DCTN1
REAC:948021	Transport to the Golgi and subsequent modification	4.59e-06	4.59e-06	1	MGAT4A,NSF,LMAN1,DYNC1I2,CD59,B4GALT1,TMED2,ARCN1,CNIH1,SEC23A,PPP6R1,SEC23IP,GBF1,GOSR1,MAN1A1,SPTBN1,PPP6C,COPA,TBC1D20,MGAT1,ACTR10,DCTN4,ARF3,TMED7,DYNC1LI2,COG3,DCTN3,RAB1A,SEC31A,USO1,SEC24B,CSNK1D,ARF1,SEC16A,MGAT5,SAR1B,MIA3,B4GALT5,B4GALT3,TGFA,DCTN5,ARF4,TMED10,MANEA,RAB1B,SEC24C,BET1L,MCFD2,TRAPPC6B,F8,DYNC1H1,SPTAN1,MAN1A2,DCTN1
REAC:532668	N-glycan trimming in the ER and Calnexin/Calreticulin cycle	0.000818	0.000818	1	SEL1L,GANAB,MOGS,EDEM3,RAD23B,CANX,PRKCSH,EDEM1,UGGT1,MARCH6,AMFR,SYVN1,VCP,RNF139,CALR
REAC:901042	Calnexin/calreticulin cycle	0.00156	0.00156	1	SEL1L,GANAB,EDEM3,CANX,PRKCSH,EDEM1,UGGT1,MARCH6,AMFR,SYVN1,RNF139,CALR
REAC:199977	ER to Golgi Anterograde Transport	1.45e-05	1.45e-05	1	NSF,LMAN1,DYNC1I2,CD59,TMED2,ARCN1,CNIH1,SEC23A,PPP6R1,SEC23IP,GBF1,GOSR1,SPTBN1,PPP6C,COPA,TBC1D20,ACTR10,DCTN4,ARF3,TMED7,DYNC1LI2,COG3,DCTN3,RAB1A,SEC31A,USO1,SEC24B,CSNK1D,ARF1,SEC16A,SAR1B,MIA3,TGFA,DCTN5,ARF4,TMED10,RAB1B,SEC24C,BET1L,MCFD2,TRAPPC6B,F8,DYNC1H1,SPTAN1,DCTN1
REAC:5694530	Cargo concentration in the ER	0.00278	0.00278	1	LMAN1,CD59,TMED2,CNIH1,SEC23A,SEC24B,SAR1B,MIA3,TGFA,TMED10,SEC24C,MCFD2,F8
REAC:6807878	COPI-mediated anterograde transport	0.00139	0.00139	1	NSF,DYNC1I2,CD59,TMED2,ARCN1,GBF1,GOSR1,SPTBN1,COPA,ACTR10,DCTN4,ARF3,TMED7,DYNC1LI2,COG3,DCTN3,RAB1A,USO1,ARF1,DCTN5,ARF4,TMED10,RAB1B,BET1L,DYNC1H1,SPTAN1,DCTN1
REAC:204005	COPII (Coat Protein 2) Mediated Vesicle Transport	0.000369	0.000369	1	NSF,LMAN1,CD59,TMED2,CNIH1,SEC23A,PPP6R1,SEC23IP,PPP6C,TBC1D20,RAB1A,SEC31A,USO1,SEC24B,CSNK1D,SEC16A,SAR1B,TGFA,TMED10,RAB1B,SEC24C,MCFD2,TRAPPC6B,F8
REAC:450531	Regulation of mRNA stability by proteins that bind AU-rich elements	0.00799	0.00799	1	ELAVL1,PABPC1,TNPO1,DIS3,KHSRP,PSMD5,PSMD10,PSMD3,PSMD11,MAPK14,EIF4G1,SET,NUP214,ZFP36,PSME3,ENPP2,HNRNPD,AKT1,TNFSF13,MAPKAPK2,YWHAZ,YWHAB,PSMD2,ZFP36L1,EXOSC6
REAC:167021	PLC-gamma1 signalling	0.00405	0.00405	1	PRKACA,PRKAR1A,PRKAR2A,PLCG1,NGF,PRKACB,CALM3,AHCYL1,ADRBK1,ADCY5,ADCY6,CALM1
REAC:392451	G beta:gamma signalling through PI3Kgamma	0.0234	0.0234	1	PIK3CB,RHOA,GNB1,AKT2,AKT3,PIK3R3,AKT1,SHC1,JAK1,GNB2,GNG12,GRB2,IL3RA,GNG10
REAC:69236	G1 Phase	0.0469	0.0469	1	ABL1,RBL2,PPP2CB,CCND1,CDKN1B,CCND2,CDKN1A,CDKN1C,CDK4,RB1,TFDP1,PPP2R2A,LYN
REAC:69231	Cyclin D associated events in G1	0.0469	0.0469	1	ABL1,RBL2,PPP2CB,CCND1,CDKN1B,CCND2,CDKN1A,CDKN1C,CDK4,RB1,TFDP1,PPP2R2A,LYN
REAC:162906	HIV Infection	0.00534	0.00534	1	AP2B1,FYN,TCEB3,NUP160,POLR2B,TPR,NUP133,AP1M1,CHMP2B,SUPT16H,NUP50,PSMD5,AP1B1,RNMT,PSMD10,TAF6,PSMD3,KPNB1,PSMD11,NUP98,TBP,CHMP3,VPS4B,NUP153,NUP214,CCNT1,RNASE1,PSME3,RAC1,NUP54,FURIN,ARF1,POLR2D,CHMP7,SSRP1,SLC25A4,RANBP2,NUP205,PSIP1,UBAP1,GTF2A1,CUL5,AP1G1,VPS37C,PDCD6IP,PACS1,PSMD2,PAK2,POLR2A,AP1S2,AP2A2,TAF9B,NELFB,SUPT5H,AP2A1,NUP62
REAC:162909	Host Interactions of HIV factors	0.00694	0.00694	1	AP2B1,FYN,NUP160,TPR,NUP133,AP1M1,NUP50,PSMD5,AP1B1,PSMD10,PSMD3,KPNB1,PSMD11,NUP98,NUP153,NUP214,CCNT1,RNASE1,PSME3,RAC1,NUP54,ARF1,SLC25A4,RANBP2,NUP205,PSIP1,CUL5,AP1G1,PACS1,PSMD2,PAK2,AP1S2,AP2A2,AP2A1,NUP62
REAC:164952	The role of Nef in HIV-1 replication and disease pathogenesis	0.00142	0.00142	1	AP2B1,FYN,AP1M1,AP1B1,RNASE1,RAC1,ARF1,AP1G1,PACS1,PAK2,AP1S2,AP2A2,AP2A1
REAC:176033	Interactions of Vpr with host cellular proteins	0.00769	0.00769	1	NUP160,TPR,NUP133,NUP50,NUP98,NUP153,NUP214,NUP54,RANBP2,NUP205,PSIP1,NUP62
REAC:180910	Vpr-mediated nuclear import of PICs	0.00384	0.00384	1	NUP160,TPR,NUP133,NUP50,NUP98,NUP153,NUP214,NUP54,RANBP2,NUP205,PSIP1,NUP62
REAC:177243	Interactions of Rev with host cellular proteins	0.0193	0.0193	1	NUP160,TPR,NUP133,NUP50,KPNB1,NUP98,NUP153,NUP214,NUP54,RANBP2,NUP205,NUP62
REAC:180746	Nuclear import of Rev protein	0.00999	0.00999	1	NUP160,TPR,NUP133,NUP50,KPNB1,NUP98,NUP153,NUP214,NUP54,RANBP2,NUP205,NUP62
