GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:913531	Interferon Signaling	7.6e-08	7.6e-08	-1	IFI35,MAPK3,BST2,B2M,HLA-DQB1,SOCS3,IFITM2,IFITM1,HLA-DRB1,PSMB8,HLA-DRA,HLA-C,HLA-E,HLA-F,HLA-A,HLA-DPB1,HLA-DPA1,HLA-B
REAC:909733	Interferon alpha/beta signaling	5.31e-07	5.31e-07	-1	IFI35,BST2,SOCS3,IFITM2,IFITM1,PSMB8,HLA-C,HLA-E,HLA-F,HLA-A,HLA-B
REAC:877300	Interferon gamma signaling	5.31e-07	5.31e-07	-1	B2M,HLA-DQB1,SOCS3,HLA-DRB1,HLA-DRA,HLA-C,HLA-E,HLA-F,HLA-A,HLA-DPB1,HLA-DPA1,HLA-B
REAC:1428517	The citric acid (TCA) cycle and respiratory electron transport	0.00108	0.00108	-1	LDHB,COX7C,COX4I1,NDUFS6,ATP5C1,ATP5L,NDUFS5,NDUFA3,UCP2,COX8A,IDH2
REAC:76002	Platelet activation, signaling and aggregation	0.00952	0.00952	-1	WDR1,MAPK3,PFN1,LGALS3BP,TUBA4A,CD63,ALDOA,ANXA5,CFL1,RHOG,TMSB4X,LYN
REAC:198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	0.00664	0.00664	-1	CD99,TYROBP,HCST,B2M,IFITM1,HLA-C,HLA-E,HLA-F,HLA-A,HLA-B
GO:0010876	lipid localization	9.6e-05	9.6e-05	1	APOB,LIPG,PRKAB2,ABCG5,ABCG8,ABCA6,PCSK9,SLC25A20,PPARA,ENPP1
GO:0006631	fatty acid metabolic process	1.24e-07	1.24e-07	1	MLXIPL,ACAA1,PNPLA3,ALDH5A1,EHHADH,ECHDC2,PRKAB2,MUT,ACOX1,ACOX2,FASN,CYP4F12,PPARA,CYP2B6,ELOVL2
GO:0008202	steroid metabolic process	0.000551	0.000551	1	ACAA1,APOB,CYP3A5,GPAM,HSD17B7,RORC,TM7SF2,ACOX2,FASN,CYP2B6
GO:0016042	lipid catabolic process	2.36e-05	2.36e-05	1	ACAA1,PNPLA3,LIPG,EHHADH,ECHDC2,MUT,ACOX1,ACOX2,CYP4F12,PPARA
GO:0044242	cellular lipid catabolic process	7.18e-06	7.18e-06	1	ACAA1,PNPLA3,LIPG,EHHADH,ECHDC2,MUT,ACOX1,ACOX2,CYP4F12,PPARA
GO:0016054	organic acid catabolic process	2.67e-07	2.67e-07	1	ACAA1,XYLB,DAO,ALDH5A1,EHHADH,ECHDC2,SARDH,MUT,DDAH1,ACOX1,ACOX2,CYP4F12,PPARA
GO:0046395	carboxylic acid catabolic process	2.67e-07	2.67e-07	1	ACAA1,XYLB,DAO,ALDH5A1,EHHADH,ECHDC2,SARDH,MUT,DDAH1,ACOX1,ACOX2,CYP4F12,PPARA
GO:0072329	monocarboxylic acid catabolic process	2.67e-07	2.67e-07	1	ACAA1,XYLB,ALDH5A1,EHHADH,ECHDC2,MUT,ACOX1,ACOX2,CYP4F12,PPARA
GO:0002683	negative regulation of immune system process	0.00634	0.00634	-1	EZR,BST2,THY1,LY96,TSC22D4,CIB1,HLA-DRB1,HLA-A,HLA-B,LYN
GO:0070663	regulation of leukocyte proliferation	8.18e-05	8.18e-05	-1	CD74,GSTP1,CSF1,HLA-DRB1,AIF1,HLA-DPB1,HLA-DPA1,MIF,LYN,CCL5
GO:0019058	viral life cycle	0.00234	0.00234	-1	CD74,LGALS1,CHMP4B,BST2,CHMP1A,LAMTOR5,TNIP1,IFITM2,IFITM1,CCL5
GO:0070371	ERK1 and ERK2 cascade	0.000241	0.000241	-1	CD74,KARS,GSTP1,EZR,MAPK3,RRAS,MAP2K2,TNIP1,CIB1,MIF,LYN,CCL5
GO:0070372	regulation of ERK1 and ERK2 cascade	0.000146	0.000146	-1	CD74,KARS,GSTP1,EZR,MAPK3,RRAS,MAP2K2,TNIP1,CIB1,MIF,LYN,CCL5
GO:0016236	macroautophagy	0.00502	0.00502	-1	CHMP4B,GAPDH,ATP6V0E1,ATP6V0B,CAPNS1,LAMTOR5,MAP1LC3B,ATP6V0D1,GABARAP,WDR45
GO:0090066	regulation of anatomical structure size	6.5e-05	6.5e-05	-1	CAPG,WDR1,CAPZB,PFN1,VASP,ARPC1B,LAMTOR5,SH3BGRL3,ARF1,CORO1B,TMSB4X,TWF2
GO:0032535	regulation of cellular component size	4.66e-06	4.66e-06	-1	CAPG,WDR1,CAPZB,PFN1,VASP,ARPC1B,LAMTOR5,SH3BGRL3,ARF1,CORO1B,TMSB4X,TWF2
GO:0032970	regulation of actin filament-based process	3.63e-05	3.63e-05	-1	CAPG,WDR1,CAPZB,PFN1,ARHGDIB,VASP,BST2,ARPC1B,SH3BGRL3,ARF1,CORO1B,TMSB4X,TWF2
GO:1902903	regulation of supramolecular fiber organization	1.09e-05	1.09e-05	-1	CAPG,WDR1,CAPZB,PFN1,VASP,ARPC1B,SH3BGRL3,ARF1,CORO1B,CIB1,TMSB4X,TWF2
GO:0007015	actin filament organization	5.68e-07	5.68e-07	-1	CAPG,WDR1,CAPZB,PFN1,VASP,DSTN,ARPC1B,SH3BGRL3,ARF1,ALDOA,CORO1B,CFL1,AIF1,TMSB4X,TWF2
GO:0008154	actin polymerization or depolymerization	1.32e-09	1.32e-09	-1	CAPG,WDR1,CAPZB,PFN1,VASP,DSTN,ARPC1B,SH3BGRL3,ARF1,CORO1B,CFL1,AIF1,TMSB4X,TWF2
GO:0051258	protein polymerization	5.99e-05	5.99e-05	-1	CAPG,CAPZB,PFN1,VASP,ARPC1B,ARF1,GPX4,CORO1B,AIF1,TMSB4X,ARPC4,TWF2
GO:0030041	actin filament polymerization	1.66e-06	1.66e-06	-1	CAPG,CAPZB,PFN1,VASP,ARPC1B,ARF1,CORO1B,AIF1,TMSB4X,TWF2
GO:0032956	regulation of actin cytoskeleton organization	8.06e-06	8.06e-06	-1	CAPG,WDR1,CAPZB,PFN1,ARHGDIB,VASP,BST2,ARPC1B,SH3BGRL3,ARF1,CORO1B,TMSB4X,TWF2
GO:0110053	regulation of actin filament organization	6.79e-06	6.79e-06	-1	CAPG,WDR1,CAPZB,PFN1,VASP,ARPC1B,SH3BGRL3,ARF1,CORO1B,TMSB4X,TWF2
GO:0030832	regulation of actin filament length	2.12e-07	2.12e-07	-1	CAPG,WDR1,CAPZB,PFN1,VASP,ARPC1B,SH3BGRL3,ARF1,CORO1B,TMSB4X,TWF2
GO:0008064	regulation of actin polymerization or depolymerization	2.03e-07	2.03e-07	-1	CAPG,WDR1,CAPZB,PFN1,VASP,ARPC1B,SH3BGRL3,ARF1,CORO1B,TMSB4X,TWF2
GO:0034341	response to interferon-gamma	5.97e-10	5.97e-10	-1	GAPDH,BST2,B2M,SOCS3,IFITM2,IFITM1,HLA-DRB1,HLA-DRA,AIF1,HLA-C,HLA-F,HLA-A,HLA-DPB1,HLA-DPA1,HLA-B,CCL5
GO:0071346	cellular response to interferon-gamma	1.02e-07	1.02e-07	-1	GAPDH,B2M,SOCS3,HLA-DRB1,HLA-DRA,AIF1,HLA-C,HLA-F,HLA-A,HLA-DPB1,HLA-DPA1,HLA-B,CCL5
GO:0060333	interferon-gamma-mediated signaling pathway	1.02e-06	1.02e-06	-1	B2M,SOCS3,HLA-DRB1,HLA-DRA,HLA-C,HLA-F,HLA-A,HLA-DPB1,HLA-DPA1,HLA-B
GO:0007249	I-kappaB kinase/NF-kappaB signaling	6.42e-05	6.42e-05	-1	CD74,GSTP1,FKBP1A,LGALS1,BST2,TNIP1,LY96,RHOC,TERF2IP,TNIP2,S100A4,TMSB4X
GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	0.000133	0.000133	-1	CD74,GSTP1,FKBP1A,LGALS1,BST2,TNIP1,RHOC,TERF2IP,TNIP2,S100A4,TMSB4X
