GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:204005	COPII (Coat Protein 2) Mediated Vesicle Transport	0.0487	0.0487	1	LMAN1,SCFD1,SEC23IP,PPP6R3,SEC24A,GORASP1,USO1,SEC24B,SAR1B,MCFD2,F5
REAC:535734	Fatty acid, triacylglycerol, and ketone body metabolism	1.28e-05	1.28e-05	1	NFYA,ABCB4,NR1H4,ELOVL5,THRAP3,EP300,LPIN2,AHR,CCNC,HMGCS1,HMGCR,ACADM,GPAM,PRKAB2,HMGCS2,NCOA2,ARNT,MUT,PLIN2,ACSL1,BDH1,ACOX1,BDH2,ABCA1,PEX11A,CYP7A1,FASN,ELOVL6,ACOT12,SLC25A20,SP1,PPARA,CYP4A11,AGMO,ELOVL2
REAC:400206	Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)	0.000152	0.000152	1	NFYA,ABCB4,NR1H4,THRAP3,EP300,AHR,CCNC,HMGCS1,HMGCR,ACADM,HMGCS2,NCOA2,ARNT,PLIN2,ACSL1,ACOX1,ABCA1,PEX11A,CYP7A1,SP1,PPARA,CYP4A11
REAC:1989781	PPARA activates gene expression	0.000112	0.000112	1	NFYA,ABCB4,NR1H4,THRAP3,EP300,AHR,CCNC,HMGCS1,HMGCR,ACADM,HMGCS2,NCOA2,ARNT,PLIN2,ACSL1,ACOX1,ABCA1,PEX11A,CYP7A1,SP1,PPARA,CYP4A11
REAC:194068	Bile acid and bile salt metabolism	0.00714	0.00714	1	NR1H4,SLC10A1,SCP2,OSBPL9,HSD17B4,SLCO1B1,BAAT,NCOA2,CYP7A1,ACOX2
REAC:3108232	SUMO E3 ligases SUMOylate target proteins	0.0436	0.0436	1	TPR,NOP58,TOP2B,NUP50,STAG2,NSMCE4A,SMC3,NUP98,NUP153,NUP210,MDM2,XPC,RAD21,BMI1,SP3,SUZ12,TOP1
REAC:446203	Asparagine N-linked glycosylation	0.0347	0.0347	1	PGM3,SEL1L,GNPNAT1,PSMC1,SEC23IP,MAN1A1,MAN2A1,SEC24A,GORASP1,SPTBN1,EDEM3,UAP1,DCTN4,EDEM1,TMED7,COG3,USO1,SEC24B,MARCH6,SAR1B,NUS1,MIA3,RNF139,GOLGB1,MCFD2,MAN2A2,F5
REAC:168164	Toll Like Receptor 3 (TLR3) Cascade	0.0421	0.0421	1	CUL1,TAB2,FBXW11,MAPK1,BIRC2,ATF2,IRAK2,DHX9,TANK,PPP2R1B,RPS6KA3,JUN,PTPN11,TBK1,HMGB1
REAC:166166	MyD88-independent TLR3/TLR4 cascade 	0.0398	0.0398	1	CUL1,TAB2,FBXW11,MAPK1,BIRC2,ATF2,IRAK2,DHX9,TANK,PPP2R1B,RPS6KA3,JUN,PTPN11,TBK1,HMGB1
REAC:937061	TRIF-mediated TLR3/TLR4 signaling 	0.0398	0.0398	1	CUL1,TAB2,FBXW11,MAPK1,BIRC2,ATF2,IRAK2,DHX9,TANK,PPP2R1B,RPS6KA3,JUN,PTPN11,TBK1,HMGB1
