GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:168274	Export of Viral Ribonucleoproteins from Nucleus	6.56e-07	6.56e-07	1	NUP160,TPR,NDC1,NUP133,NUP37,XPO1,NUP93,NUP107,NUP155,NUP153,NUPL2,RANBP2,NUP205
REAC:168333	NEP/NS2 Interacts with the Cellular Export Machinery	4.58e-07	4.58e-07	1	NUP160,TPR,NDC1,NUP133,NUP37,XPO1,NUP93,NUP107,NUP155,NUP153,NUPL2,RANBP2,NUP205
REAC:162906	HIV Infection	0.000572	0.000572	1	AP2B1,NUP160,TPR,TAF2,PSME4,NUP133,NUP37,XPO1,SUPT16H,RNMT,NUP93,KPNB1,GTF2H3,NUP107,NUP155,KPNA1,CHMP3,NUP153,CCNT1,NUPL2,NCBP1,RANBP2,NUP205,ERCC3,PSIP1,GTF2A1,CUL5,AP1G1,TCEA1
REAC:162909	Host Interactions of HIV factors	0.000555	0.000555	1	AP2B1,NUP160,TPR,PSME4,NUP133,NUP37,XPO1,NUP93,KPNB1,NUP107,NUP155,KPNA1,NUP153,CCNT1,NUPL2,RANBP2,NUP205,PSIP1,CUL5,AP1G1
REAC:176033	Interactions of Vpr with host cellular proteins	4.21e-07	4.21e-07	1	NUP160,TPR,NDC1,NUP133,NUP37,NUP93,NUP107,NUP155,KPNA1,NUP153,NUPL2,RANBP2,NUP205,PSIP1
REAC:180910	Vpr-mediated nuclear import of PICs	1.4e-07	1.4e-07	1	NUP160,TPR,NDC1,NUP133,NUP37,NUP93,NUP107,NUP155,KPNA1,NUP153,NUPL2,RANBP2,NUP205,PSIP1
REAC:177243	Interactions of Rev with host cellular proteins	4.21e-07	4.21e-07	1	NUP160,TPR,NDC1,NUP133,NUP37,XPO1,NUP93,KPNB1,NUP107,NUP155,NUP153,NUPL2,RANBP2,NUP205
REAC:180746	Nuclear import of Rev protein	9.58e-07	9.58e-07	1	NUP160,TPR,NDC1,NUP133,NUP37,NUP93,KPNB1,NUP107,NUP155,NUP153,NUPL2,RANBP2,NUP205
REAC:162587	HIV Life Cycle	4.72e-05	4.72e-05	1	NUP160,TPR,TAF2,NUP133,NUP37,XPO1,SUPT16H,RNMT,NUP93,GTF2H3,NUP107,NUP155,KPNA1,CHMP3,NUP153,CCNT1,NUPL2,NCBP1,RANBP2,NUP205,ERCC3,PSIP1,GTF2A1,TCEA1
REAC:162599	Late Phase of HIV Life Cycle	0.000112	0.000112	1	NUP160,TPR,TAF2,NUP133,NUP37,XPO1,SUPT16H,RNMT,NUP93,GTF2H3,NUP107,NUP155,CHMP3,NUP153,CCNT1,NUPL2,NCBP1,RANBP2,NUP205,ERCC3,GTF2A1,TCEA1
REAC:165054	Rev-mediated nuclear export of HIV RNA	1.27e-06	1.27e-06	1	NUP160,TPR,NDC1,NUP133,NUP37,XPO1,NUP93,NUP107,NUP155,NUP153,NUPL2,RANBP2,NUP205
REAC:453274	Mitotic G2-G2/M phases	0.027	0.027	1	PAFAH1B1,PPP1R12A,PSME4,HMMR,FBXW11,DYNC1I2,PCM1,XPO1,MAPRE1,E2F3,NEK2,CENPF,NEDD1,RBBP4,CEP57,YWHAG,CDK1,CKAP5
REAC:69275	G2/M Transition	0.0423	0.0423	1	PAFAH1B1,PPP1R12A,PSME4,HMMR,FBXW11,DYNC1I2,PCM1,XPO1,MAPRE1,NEK2,CENPF,NEDD1,RBBP4,CEP57,YWHAG,CDK1,CKAP5
REAC:2565942	Regulation of PLK1 Activity at G2/M Transition	0.00348	0.00348	1	PAFAH1B1,PPP1R12A,FBXW11,DYNC1I2,PCM1,MAPRE1,CEP70,NEK2,CDK5RAP2,NEDD1,CEP57,YWHAG,CDK1,CKAP5,DYNC1H1
REAC:8854518	AURKA Activation by TPX2	0.00173	0.00173	1	PAFAH1B1,HMMR,DYNC1I2,PCM1,MAPRE1,CEP70,NEK2,CDK5RAP2,NEDD1,CEP57,YWHAG,CDK1,CKAP5,DYNC1H1
REAC:380287	Centrosome maturation	0.013	0.013	1	PAFAH1B1,DYNC1I2,PCM1,MAPRE1,CEP70,NEK2,CDK5RAP2,NEDD1,CEP57,YWHAG,CDK1,CKAP5,DYNC1H1
REAC:380284	Loss of proteins required for interphase microtubule organization__from the centrosome	0.00355	0.00355	1	PAFAH1B1,DYNC1I2,PCM1,MAPRE1,CEP70,NEK2,CDK5RAP2,NEDD1,CEP57,YWHAG,CDK1,CKAP5,DYNC1H1
REAC:380259	Loss of Nlp from mitotic centrosomes	0.00355	0.00355	1	PAFAH1B1,DYNC1I2,PCM1,MAPRE1,CEP70,NEK2,CDK5RAP2,NEDD1,CEP57,YWHAG,CDK1,CKAP5,DYNC1H1
REAC:380270	Recruitment of mitotic centrosome proteins and complexes	0.013	0.013	1	PAFAH1B1,DYNC1I2,PCM1,MAPRE1,CEP70,NEK2,CDK5RAP2,NEDD1,CEP57,YWHAG,CDK1,CKAP5,DYNC1H1
REAC:380320	Recruitment of NuMA to mitotic centrosomes	0.0106	0.0106	1	PAFAH1B1,DYNC1I2,PCM1,MAPRE1,CEP70,NEK2,CDK5RAP2,NEDD1,CEP57,YWHAG,CDK1,CKAP5,DYNC1H1
REAC:168325	Viral Messenger RNA Synthesis	0.000124	0.000124	1	NUP160,TPR,NDC1,NUP133,NUP37,NUP93,NUP107,NUP155,NUP153,NUPL2,RANBP2,NUP205
REAC:211000	Gene Silencing by RNA	0.00925	0.00925	1	NUP160,TPR,NUP133,NUP37,NUP93,NUP107,DROSHA,NUP155,TSNAX,XPO5,NUP153,IPO8,NUPL2,RANBP2,NUP205,H3F3A,TSN
REAC:5578749	Transcriptional regulation by small RNAs	0.0324	0.0324	1	NUP160,TPR,NUP133,NUP37,NUP93,NUP107,NUP155,NUP153,IPO8,NUPL2,RANBP2,NUP205,H3F3A
REAC:5617833	Assembly of the primary cilium	0.00257	0.00257	1	PAFAH1B1,DYNC1I2,PCM1,TNPO1,IFT52,KIF3B,MAPRE1,EXOC2,CEP70,NEK2,CDK5RAP2,NEDD1,CCT5,ASAP1,CEP57,SEPT2,ARL13B,YWHAG,CDK1,IQCB1,CKAP5,UNC119B,BBS10,DYNC1H1,TRAF3IP1
REAC:5620912	Anchoring of the basal body to the plasma membrane	0.00904	0.00904	1	PAFAH1B1,DYNC1I2,PCM1,MAPRE1,CEP70,NEK2,CDK5RAP2,NEDD1,CEP57,SEPT2,YWHAG,CDK1,IQCB1,CKAP5,DYNC1H1
