GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:73779	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	0.0133	0.0133	1	POLR2B,TAF11,POLR2E,POLR2C,GTF2F1,CDK7,GTF2A2,TAF7,TAF9B,TAF9
REAC:382556	ABC-family proteins mediated transport	0.0084	0.0084	1	ERLEC1,PSMD5,PSMB5,PSMD10,PSMD3,PSMD11,PSMD14,PSMF1,EIF2S2,EIF2S3,PSME3,RPS27A,VCP,RNF5
REAC:1428517	The citric acid (TCA) cycle and respiratory electron transport	0.0417	0.0417	1	CS,NDUFB4,IDH3B,PDHX,TIMMDC1,COX7A2L,ATP5F1,ECSIT,LDHA,ATP5G2,NDUFB5,LRPPRC,NDUFC2,ATP5A1,ATP5G3,NDUFB6,ATP5C1,COX11,ATP5L,COX5A,NDUFA12,NDUFS3
REAC:163200	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	0.0302	0.0302	1	NDUFB4,TIMMDC1,COX7A2L,ATP5F1,ECSIT,ATP5G2,NDUFB5,LRPPRC,NDUFC2,ATP5A1,ATP5G3,NDUFB6,ATP5C1,COX11,ATP5L,COX5A,NDUFA12,NDUFS3
REAC:5654689	PI-3K cascade:FGFR1	0.00284	0.00284	1	KDM1A,ERBB3,FGFR3,CSNK2A2,MBD3,GSK3B,PSMD5,MAPK1,PSMB5,TRIB3,CSNK2A1,VAPA,PSMD10,RBBP7,PPP2R1A,GSK3A,RHEB,PSMD3,PSMD11,LAMTOR3,PPP2R5D,PSMD14,ATF2,HDAC1,MAPKAP1,PSMF1,PSME3,LAMTOR5,RPS27A,LAMTOR1,RRAGA,FGFR4,PIP4K2C,BMI1,MYD88,GRB2,SUZ12,PTPN11,AKT1S1,PIP4K2B
REAC:180292	GAB1 signalosome	0.00207	0.00207	1	KDM1A,ERBB3,FGFR3,CSNK2A2,MBD3,GSK3B,PSMD5,MAPK1,PSMB5,TRIB3,CSNK2A1,VAPA,PSMD10,RBBP7,CSK,PPP2R1A,GSK3A,RHEB,PSMD3,PSMD11,LAMTOR3,PPP2R5D,PSMD14,ATF2,HDAC1,MAPKAP1,PSMF1,PSME3,LAMTOR5,RPS27A,LAMTOR1,RRAGA,FGFR4,PIP4K2C,BMI1,MYD88,GRB2,SUZ12,PTPN11,AKT1S1,PIP4K2B
REAC:5654695	PI-3K cascade:FGFR2	0.00284	0.00284	1	KDM1A,ERBB3,FGFR3,CSNK2A2,MBD3,GSK3B,PSMD5,MAPK1,PSMB5,TRIB3,CSNK2A1,VAPA,PSMD10,RBBP7,PPP2R1A,GSK3A,RHEB,PSMD3,PSMD11,LAMTOR3,PPP2R5D,PSMD14,ATF2,HDAC1,MAPKAP1,PSMF1,PSME3,LAMTOR5,RPS27A,LAMTOR1,RRAGA,FGFR4,PIP4K2C,BMI1,MYD88,GRB2,SUZ12,PTPN11,AKT1S1,PIP4K2B
REAC:5654720	PI-3K cascade:FGFR4	0.00284	0.00284	1	KDM1A,ERBB3,FGFR3,CSNK2A2,MBD3,GSK3B,PSMD5,MAPK1,PSMB5,TRIB3,CSNK2A1,VAPA,PSMD10,RBBP7,PPP2R1A,GSK3A,RHEB,PSMD3,PSMD11,LAMTOR3,PPP2R5D,PSMD14,ATF2,HDAC1,MAPKAP1,PSMF1,PSME3,LAMTOR5,RPS27A,LAMTOR1,RRAGA,FGFR4,PIP4K2C,BMI1,MYD88,GRB2,SUZ12,PTPN11,AKT1S1,PIP4K2B
REAC:1250342	PI3K events in ERBB4 signaling	0.00284	0.00284	1	KDM1A,ERBB3,FGFR3,CSNK2A2,MBD3,GSK3B,PSMD5,MAPK1,PSMB5,TRIB3,CSNK2A1,VAPA,PSMD10,RBBP7,PPP2R1A,GSK3A,RHEB,PSMD3,PSMD11,LAMTOR3,PPP2R5D,PSMD14,ATF2,HDAC1,MAPKAP1,PSMF1,PSME3,LAMTOR5,RPS27A,LAMTOR1,RRAGA,FGFR4,PIP4K2C,BMI1,MYD88,GRB2,SUZ12,PTPN11,AKT1S1,PIP4K2B
REAC:198203	PI3K/AKT activation	0.00207	0.00207	1	KDM1A,ERBB3,RHOA,FGFR3,CSNK2A2,MBD3,GSK3B,PSMD5,MAPK1,PSMB5,TRIB3,CSNK2A1,VAPA,PSMD10,RBBP7,PPP2R1A,GSK3A,RHEB,PSMD3,PSMD11,LAMTOR3,PPP2R5D,PSMD14,ATF2,HDAC1,MAPKAP1,PSMF1,PSME3,LAMTOR5,RPS27A,LAMTOR1,RRAGA,FGFR4,PIP4K2C,BMI1,MYD88,GRB2,SUZ12,PTPN11,AKT1S1,PIP4K2B
REAC:5654710	PI-3K cascade:FGFR3	0.00284	0.00284	1	KDM1A,ERBB3,FGFR3,CSNK2A2,MBD3,GSK3B,PSMD5,MAPK1,PSMB5,TRIB3,CSNK2A1,VAPA,PSMD10,RBBP7,PPP2R1A,GSK3A,RHEB,PSMD3,PSMD11,LAMTOR3,PPP2R5D,PSMD14,ATF2,HDAC1,MAPKAP1,PSMF1,PSME3,LAMTOR5,RPS27A,LAMTOR1,RRAGA,FGFR4,PIP4K2C,BMI1,MYD88,GRB2,SUZ12,PTPN11,AKT1S1,PIP4K2B
REAC:1257604	PIP3 activates AKT signaling	0.00284	0.00284	1	KDM1A,ERBB3,FGFR3,CSNK2A2,MBD3,GSK3B,PSMD5,MAPK1,PSMB5,TRIB3,CSNK2A1,VAPA,PSMD10,RBBP7,PPP2R1A,GSK3A,RHEB,PSMD3,PSMD11,LAMTOR3,PPP2R5D,PSMD14,ATF2,HDAC1,MAPKAP1,PSMF1,PSME3,LAMTOR5,RPS27A,LAMTOR1,RRAGA,FGFR4,PIP4K2C,BMI1,MYD88,GRB2,SUZ12,PTPN11,AKT1S1,PIP4K2B
REAC:168142	Toll Like Receptor 10 (TLR10) Cascade	0.0105	0.0105	1	MAPK1,TAB1,PPP2R1A,PPP2R5D,ATF2,ECSIT,DHX9,RPS27A,NKIRAS2,TNIP2,UBE2N
