GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:211859	Biological oxidations	2.15e-08	2.15e-08	1	NR1H4,ACSM2B,CYP2D6,CYP3A5,CYP2C9,CYP2C8,CYP4V2,CYP3A7,CYP4A22,GLYATL1,CYP7A1,MAT2A,ADH6,ACSM2A,CYP4F12,MARC1,RXRA,CYP4F3,ADH1B,CYP2B6,GSTA1
REAC:211945	Phase 1 - Functionalization of compounds	2.42e-09	2.42e-09	1	NR1H4,CYP2D6,CYP3A5,CYP2C9,CYP2C8,CYP4V2,CYP3A7,CYP4A22,CYP7A1,ADH6,CYP4F12,RXRA,CYP4F3,ADH1B,CYP2B6
REAC:211897	Cytochrome P450 - arranged by substrate type	2.42e-09	2.42e-09	1	NR1H4,CYP2D6,CYP3A5,CYP2C9,CYP2C8,CYP4V2,CYP3A7,CYP4A22,CYP7A1,CYP4F12,RXRA,CYP4F3,CYP2B6
REAC:72203	Processing of Capped Intron-Containing Pre-mRNA	2.51e-06	2.51e-06	1	RBM5,SRSF5,PABPN1,SNRNP70,SRSF7,SRSF11,PRPF3,SRSF6,CPSF7,SRSF2,NXF1,HNRNPH1,DDX39B
REAC:72172	mRNA Splicing	1.05e-05	1.05e-05	1	RBM5,SRSF5,PABPN1,SNRNP70,SRSF7,SRSF11,PRPF3,SRSF6,CPSF7,SRSF2,HNRNPH1
REAC:72163	mRNA Splicing - Major Pathway	6.46e-06	6.46e-06	1	RBM5,SRSF5,PABPN1,SNRNP70,SRSF7,SRSF11,PRPF3,SRSF6,CPSF7,SRSF2,HNRNPH1
REAC:535734	Fatty acid, triacylglycerol, and ketone body metabolism	0.00578	0.00578	1	NR1H4,LPIN2,APOA1,PRKAB2,ACSL1,BDH1,BDH2,ABCA1,CYP7A1,ACOT12,RXRA,PPARA
REAC:5628897	TP53 Regulates Metabolic Genes	1.25e-05	1.25e-05	-1	GPI,LAMTOR2,PRDX5,COX4I1,COX7B,LAMTOR5,TACO1,LAMTOR1,PRDX2,MLST8,DDIT4,COX8A,LAMTOR4,NDUFA4
REAC:5621481	C-type lectin receptors (CLRs)	0.022	0.022	-1	PSMD8,PSMB5,PSMA7,PSMD7,PSMD14,SHFM1,PSMB6,CALM3,PSMD2,PSMD13,PSMB8
REAC:5607764	CLEC7A (Dectin-1) signaling	0.00228	0.00228	-1	PSMD8,PSMB5,PSMA7,PSMD7,PSMD14,SHFM1,PSMB6,CALM3,PSMD2,PSMD13,PSMB8
REAC:5607761	Dectin-1 mediated noncanonical NF-kB signaling	0.000277	0.000277	-1	PSMD8,PSMB5,PSMA7,PSMD7,PSMD14,SHFM1,PSMB6,PSMD2,PSMD13,PSMB8
REAC:5368287	Mitochondrial translation	0.000462	0.000462	-1	MRPS34,MRPL28,MRPS33,MRPL51,TSFM,MRPS12,MRPL17,TUFM,MRPL14,MRPS23,MRPS16,MRPS18B
REAC:5419276	Mitochondrial translation termination	0.00304	0.00304	-1	MRPS34,MRPL28,MRPS33,MRPL51,MRPS12,MRPL17,MRPL14,MRPS23,MRPS16,MRPS18B
REAC:5368286	Mitochondrial translation initiation	0.00304	0.00304	-1	MRPS34,MRPL28,MRPS33,MRPL51,MRPS12,MRPL17,MRPL14,MRPS23,MRPS16,MRPS18B
REAC:5389840	Mitochondrial translation elongation	0.000279	0.000279	-1	MRPS34,MRPL28,MRPS33,MRPL51,TSFM,MRPS12,MRPL17,TUFM,MRPL14,MRPS23,MRPS16,MRPS18B
REAC:4641258	Degradation of DVL	0.000165	0.000165	-1	PSMD8,PSMB5,PSMA7,PSMD7,PSMD14,SHFM1,PSMB6,PSMD2,PSMD13,PSMB8
REAC:202403	TCR signaling	0.0168	0.0168	-1	PSMD8,PSMB5,PSMA7,PSMD7,PSMD14,SHFM1,PSMB6,PSMD2,PSMD13,PSMB8
REAC:202424	Downstream TCR signaling	0.005	0.005	-1	PSMD8,PSMB5,PSMA7,PSMD7,PSMD14,SHFM1,PSMB6,PSMD2,PSMD13,PSMB8
