GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:5357801	Programmed Cell Death	9.99e-05	9.99e-05	1	FAS,DSG2,ROCK1,ADD1,DNM1L,PSMD5,PSMC6,PSMD10,XIAP,STK24,TJP1,AKT2,UNC5B,PSMD3,KPNB1,PSMD11,BIRC2,PSMD14,AKT3,TJP2,TNFRSF10B,TNFSF10,YWHAH,PSME3,YWHAQ,NMT1,TLR4,RIPK1,AKT1,TP53BP2,APPL1,DFFA,PSMC2,CASP3,YWHAZ,CASP7,YWHAB,CTNNB1,FNTA,PTK2,YWHAG,BCL2L1,BCL2,CYCS,PSMD1,PSMD2,PAK2,HMGB1,DAPK1,PSMD12,SPTAN1,TFDP1,OPA1,PPP3R1,DYNLL2
REAC:109581	Apoptosis	6.83e-05	6.83e-05	1	FAS,DSG2,ROCK1,ADD1,DNM1L,PSMD5,PSMC6,PSMD10,XIAP,STK24,TJP1,AKT2,UNC5B,PSMD3,KPNB1,PSMD11,BIRC2,PSMD14,AKT3,TJP2,TNFRSF10B,TNFSF10,YWHAH,PSME3,YWHAQ,NMT1,TLR4,RIPK1,AKT1,TP53BP2,APPL1,DFFA,PSMC2,CASP3,YWHAZ,CASP7,YWHAB,CTNNB1,FNTA,PTK2,YWHAG,BCL2L1,BCL2,CYCS,PSMD1,PSMD2,PAK2,HMGB1,DAPK1,PSMD12,SPTAN1,TFDP1,OPA1,PPP3R1,DYNLL2
REAC:75153	Apoptotic execution  phase	0.00347	0.00347	1	ROCK1,DNM1L,TJP1,KPNB1,BIRC2,TJP2,CASP3,CTNNB1,PTK2,PAK2
REAC:109606	Intrinsic Pathway for Apoptosis	0.000488	0.000488	1	XIAP,AKT2,AKT3,YWHAH,YWHAQ,NMT1,AKT1,TP53BP2,CASP3,YWHAZ,CASP7,YWHAB,YWHAG,BCL2L1,BCL2,CYCS,TFDP1,PPP3R1,DYNLL2
REAC:114452	Activation of BH3-only proteins	0.00273	0.00273	1	AKT2,AKT3,YWHAQ,AKT1,TP53BP2,YWHAB,YWHAG,BCL2,TFDP1,PPP3R1
REAC:428157	Sphingolipid metabolism	0.000434	0.000434	1	HEXB,GALC,GBA2,ALDH3A2,SPTLC1,CERK,SPTLC2,VAPA,ASAH1,OSBP,COL4A3BP,ARSB,ESYT2,KDSR,VAPB,SGPP1,CSNK1G2,SMPD4,ESYT1,CERS2,SUMF1,UGCG,SGPP2,SGMS2,SPTSSA,SGPL1,B3GALNT1,GLB1,SPTLC3,GM2A,PSAP,SGMS1
REAC:1660661	Sphingolipid de novo biosynthesis	0.000707	0.000707	1	SPTLC1,SPTLC2,OSBP,COL4A3BP,KDSR,VAPB,SGPP1,CSNK1G2,CERS2,SGPP2,SGMS2,SPTSSA,SGPL1,SPTLC3,SGMS1
REAC:1660662	Glycosphingolipid metabolism	0.0321	0.0321	1	HEXB,GALC,GBA2,CERK,ASAH1,ARSB,ESYT2,SMPD4,ESYT1,SUMF1,UGCG,B3GALNT1,GLB1,GM2A,PSAP
REAC:512988	Interleukin-3, 5 and GM-CSF signaling	0.00386	0.00386	1	RANBP9,PPP5C,VCL,CUL3,KITLG,PIK3CB,PPP2R5A,PPP2R5C,BRAP,PSMD5,CRKL,MAPK1,PSMC6,HCK,PSMD10,PPP2CB,MET,RAPGEF1,PSMD11,LAMTOR3,DUSP16,PPP2R5D,PPP2CA,PSMD14,SPTBN1,FN1,SOS1,RAP1A,PIK3R3,DUSP1,TEK,RAP1B,PSME3,RAF1,PTPRA,KL,KRAS,DAB2IP,IQGAP1,CALM2,CAMK2D,PIK3R1,RASA1,EGFR,PSMC2,JAK1,YWHAZ,SYK,INPPL1,SPRED1,YWHAB,CRK,INPP5D,MAP2K1,PTK2,PSMD1,STAT5B,PSMD2,YES1,GRB2,PTPN11,RASA3,PSMD12,SPTAN1,SPRED2,CALM1,NRAS,LYN
REAC:912631	Regulation of signaling by CBL	0.000479	0.000479	1	PIK3CB,CRKL,HCK,RAPGEF1,PIK3R3,PIK3R1,SYK,CRK,YES1,GRB2,LYN
REAC:375165	NCAM signaling for neurite out-growth	0.0361	0.0361	1	CUL3,KITLG,DUSP16,SPTBN1,SOS1,RAP1B,KL,KRAS,IQGAP1,RASA1,SPRED1
REAC:451927	Interleukin-2 signaling	0.0225	0.0225	1	CUL3,KITLG,DUSP16,SPTBN1,SOS1,RAP1B,KL,KRAS,IQGAP1,RASA1,SPRED1
REAC:912526	Interleukin receptor SHC signaling	0.0225	0.0225	1	CUL3,KITLG,DUSP16,SPTBN1,SOS1,RAP1B,KL,KRAS,IQGAP1,RASA1,SPRED1
REAC:5654712	FRS-mediated FGFR4 signaling	0.0144	0.0144	1	RANBP9,CUL3,KITLG,DUSP16,SPTBN1,SOS1,RAP1B,KL,KRAS,IQGAP1,CAMK2D,RASA1,SPRED1,PTPN11,NRAS
