GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:199992	trans-Golgi Network Vesicle Budding	0.00616	0.00616	1	TFRC,PICALM,TPD52,SNAP23,STX4,BLOC1S6,HSPA8,CLINT1,CLTC,GOLGB1,ACBD3,SNX2
REAC:421837	Clathrin derived vesicle budding	0.00616	0.00616	1	TFRC,PICALM,TPD52,SNAP23,STX4,BLOC1S6,HSPA8,CLINT1,CLTC,GOLGB1,ACBD3,SNX2
REAC:432722	Golgi Associated Vesicle Biogenesis	0.00805	0.00805	1	TFRC,PICALM,TPD52,BLOC1S6,HSPA8,CLINT1,CLTC,GOLGB1,ACBD3,SNX2
REAC:69620	Cell Cycle Checkpoints	0.0178	0.0178	1	CDC27,MRE11A,ZW10,UIMC1,PSMC6,NBN,RAD50,RANBP2,AHCTF1,YWHAZ,UBE2V2,DYNLL2
REAC:6811442	Intra-Golgi and retrograde Golgi-to-ER traffic	1.75e-05	1.75e-05	1	GOLGA5,KIF2A,KIFAP3,DYNC1I2,ZW10,RAB18,RAB3GAP1,CAPZA1,RAB3GAP2,STX16,COPB1,ACTR10,NAA35,STX6,COG3,RAB1A,VPS54,GOLGA4,TMF1,ARFGAP2,SCOC,KIFC2,KIF5B,TMED9,BICD2,MAN1A2,CAPZA2,DYNLL2
REAC:8856688	Golgi-to-ER retrograde transport	0.00118	0.00118	1	KIF2A,KIFAP3,DYNC1I2,ZW10,RAB18,RAB3GAP1,CAPZA1,RAB3GAP2,COPB1,ACTR10,RAB1A,ARFGAP2,KIFC2,KIF5B,TMED9,BICD2,CAPZA2,DYNLL2
REAC:68877	Mitotic Prometaphase	0.00728	0.00728	1	CENPQ,OFD1,WAPAL,KIF2A,NUP133,DYNC1I2,PPP2R5C,PCM1,HSP90AA1,ZW10,SMC3,SMC4,STAG1,SMC2,NEDD1,RANBP2,AHCTF1,RAD21,CEP57,ZWILCH,DYNLL2
REAC:2500257	Resolution of Sister Chromatid Cohesion	0.0139	0.0139	1	CENPQ,WAPAL,KIF2A,NUP133,DYNC1I2,PPP2R5C,ZW10,SMC3,STAG1,RANBP2,AHCTF1,RAD21,ZWILCH,DYNLL2
REAC:3371556	Cellular response to heat stress	0.0366	0.0366	1	TPR,NUP133,HSP90AA1,NUP50,DNAJC2,HSPA8,HSPA9,HSPH1,NUPL2,RANBP2,DNAJC7,HSPA14
REAC:3371453	Regulation of HSF1-mediated heat shock response	0.0262	0.0262	1	TPR,NUP133,NUP50,DNAJC2,HSPA8,HSPA9,HSPH1,NUPL2,RANBP2,DNAJC7,HSPA14
REAC:195258	RHO GTPase Effectors	0.0231	0.0231	1	GOPC,PKN2,ZW10,KTN1,ABI1,ACTR2,RANBP2,AHCTF1,YWHAZ,LIMK2,DYNLL2
REAC:1428517	The citric acid (TCA) cycle and respiratory electron transport	0.0198	0.0198	1	NDUFS1,DLD,NNT,DLST,NDUFA5,SCO1,SUCLA2,ETFA,UQCRC2,SDHC,DLAT,UQCRB,COX6C,PDP1,TMEM126B,CYCS,MT-CO1
REAC:68875	Mitotic Prophase	0.0358	0.0358	1	TPR,NUP133,NUP50,VRK1,RAB2A,SMC4,BLZF1,NEK9,NUPL2,SMC2,RAB1A,USO1,NEK7,NCAPD3,RANBP2
REAC:2555396	Mitotic Metaphase and Anaphase	0.00728	0.00728	1	CDC27,CENPQ,WAPAL,KIF2A,NUP133,DYNC1I2,PPP2R5C,ZW10,PSMC6,PSMA3,VRK1,PSMC1,SMC3,PSMD14,STAG1,RANBP2,AHCTF1,PSMC2,RAD21,ZWILCH,DYNLL2
REAC:68882	Mitotic Anaphase	0.00728	0.00728	1	CDC27,CENPQ,WAPAL,KIF2A,NUP133,DYNC1I2,PPP2R5C,ZW10,PSMC6,PSMA3,VRK1,PSMC1,SMC3,PSMD14,STAG1,RANBP2,AHCTF1,PSMC2,RAD21,ZWILCH,DYNLL2
REAC:2467813	Separation of Sister Chromatids	0.00728	0.00728	1	CDC27,CENPQ,WAPAL,KIF2A,NUP133,DYNC1I2,PPP2R5C,ZW10,PSMC6,PSMA3,PSMC1,SMC3,PSMD14,STAG1,RANBP2,AHCTF1,PSMC2,RAD21,ZWILCH,DYNLL2
REAC:73856	RNA Polymerase II Transcription Termination	1.82e-05	1.82e-05	1	THOC3,ZC3H11A,SRSF5,SRSF3,NCBP2,SRSF7,SRSF11,THOC2,SRSF1,SLU7,PCF11,CPSF2,NUDT21,CSTF2T
REAC:109688	Cleavage of Growing Transcript in the Termination Region 	1.82e-05	1.82e-05	1	THOC3,ZC3H11A,SRSF5,SRSF3,NCBP2,SRSF7,SRSF11,THOC2,SRSF1,SLU7,PCF11,CPSF2,NUDT21,CSTF2T
REAC:2132295	MHC class II antigen presentation	0.0439	0.0439	1	KIF2A,KIFAP3,DYNC1I2,CAPZA1,CANX,ACTR10,CTSL,CLTC,CTSK,KIF5B,CAPZA2,DYNLL2
