GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:73884	Base Excision Repair	4.39e-06	4.39e-06	1	RFC2,NTHL1,XRCC1,UNG,APEX1,MPG,RPA3,POLD2,POLE4,ADPRHL2,RPA2,RPA1,PCNA,FEN1,POLD4
REAC:73933	Resolution of Abasic Sites (AP sites)	4.39e-06	4.39e-06	1	RFC2,NTHL1,XRCC1,UNG,APEX1,MPG,RPA3,POLD2,POLE4,ADPRHL2,RPA2,RPA1,PCNA,FEN1,POLD4
REAC:110373	Resolution of AP sites via the multiple-nucleotide patch replacement pathway	3.29e-05	3.29e-05	1	RFC2,APEX1,RPA3,POLD2,POLE4,ADPRHL2,RPA2,RPA1,PCNA,FEN1,POLD4
REAC:5651801	PCNA-Dependent Long Patch Base Excision Repair	3.64e-05	3.64e-05	1	RFC2,APEX1,RPA3,POLD2,POLE4,RPA2,RPA1,PCNA,FEN1,POLD4
REAC:453274	Mitotic G2-G2/M phases	1.06e-11	1.06e-11	1	PSMB1,PSMC4,PSMA4,PSMC5,DYNLL1,PSME1,HSP90AB1,PSMD8,RBX1,PSMB5,PSME2,PSMA7,PSMD10,PSMD7,PPP2R1A,PSMD3,PSMD11,YWHAE,PSMD14,OPTN,PSMF1,PSMB2,TUBA4A,SHFM1,PSMA1,TUBGCP2,TUBG1,CCNB1,CDK7,PSMB7,DCTN3,ACTR1A,PSMB6,PSMA5,RPS27A,CETN2,MZT2B,PSMD4,PSMB4,PSMC3,MZT2A,PSMD1,PSMD2,DCTN2,SSNA1,PSMD13,TUBB4B,TUBB,PSMB8,PSMB10,UBA52,PSMB9,PSMB3
REAC:69275	G2/M Transition	6.67e-12	6.67e-12	1	PSMB1,PSMC4,PSMA4,PSMC5,DYNLL1,PSME1,HSP90AB1,PSMD8,RBX1,PSMB5,PSME2,PSMA7,PSMD10,PSMD7,PPP2R1A,PSMD3,PSMD11,YWHAE,PSMD14,OPTN,PSMF1,PSMB2,TUBA4A,SHFM1,PSMA1,TUBGCP2,TUBG1,CCNB1,CDK7,PSMB7,DCTN3,ACTR1A,PSMB6,PSMA5,RPS27A,CETN2,MZT2B,PSMD4,PSMB4,PSMC3,MZT2A,PSMD1,PSMD2,DCTN2,SSNA1,PSMD13,TUBB4B,TUBB,PSMB8,PSMB10,UBA52,PSMB9,PSMB3
REAC:2565942	Regulation of PLK1 Activity at G2/M Transition	0.00551	0.00551	1	DYNLL1,PPP2R1A,YWHAE,TUBG1,DCTN3,RPS27A,CETN2,DCTN2,SSNA1,TUBB4B,TUBB,UBA52
REAC:8852276	The role of GTSE1 in G2/M progression after G2 checkpoint	1.23e-18	1.23e-18	1	PSMB1,PSMC4,PSMA4,PSMC5,PSME1,HSP90AB1,PSMD8,PSMB5,PSME2,PSMA7,PSMD10,PSMD7,PSMD3,PSMD11,PSMD14,PSMF1,PSMB2,SHFM1,PSMA1,CCNB1,PSMB7,PSMB6,PSMA5,RPS27A,PSMD4,PSMB4,PSMC3,PSMD1,PSMD2,PSMD13,PSMB8,PSMB10,UBA52,PSMB9,PSMB3
REAC:8854518	AURKA Activation by TPX2	0.0121	0.0121	1	DYNLL1,PPP2R1A,YWHAE,TUBG1,DCTN3,CETN2,DCTN2,SSNA1,TUBB4B,TUBB
REAC:380287	Centrosome maturation	0.00312	0.00312	1	DYNLL1,PPP2R1A,YWHAE,TUBG1,DCTN3,CETN2,MZT2B,MZT2A,DCTN2,SSNA1,TUBB4B,TUBB
REAC:380284	Loss of proteins required for interphase microtubule organization__from the centrosome	0.00909	0.00909	1	DYNLL1,PPP2R1A,YWHAE,TUBG1,DCTN3,CETN2,DCTN2,SSNA1,TUBB4B,TUBB
REAC:380259	Loss of Nlp from mitotic centrosomes	0.00909	0.00909	1	DYNLL1,PPP2R1A,YWHAE,TUBG1,DCTN3,CETN2,DCTN2,SSNA1,TUBB4B,TUBB
REAC:380270	Recruitment of mitotic centrosome proteins and complexes	0.00312	0.00312	1	DYNLL1,PPP2R1A,YWHAE,TUBG1,DCTN3,CETN2,MZT2B,MZT2A,DCTN2,SSNA1,TUBB4B,TUBB
REAC:380320	Recruitment of NuMA to mitotic centrosomes	0.00254	0.00254	1	DYNLL1,PPP2R1A,YWHAE,TUBG1,DCTN3,CETN2,MZT2B,MZT2A,DCTN2,SSNA1,TUBB4B,TUBB
REAC:2871837	FCERI mediated NF-kB activation	1.4e-06	1.4e-06	1	PSMB1,PSMC4,PSMA4,PSMC5,PSME1,PSMD8,CDC34,PSMB5,PSMA7,PSMD3,PSMF1,SHFM1,PSMB7,PSMB6,PSMA5,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
