GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:72312	rRNA processing	0.0123	0.0123	1	SKIV2L2,THUMPD1,WDR75,MPHOSPH10,LTV1,DDX21,MT-CO2,MT-CYB,MT-ND2,MT-ND5,MT-CO1,MT-ND4,MT-ND1,MT-ATP6,MT-CO3,MT-ND4L,MT-ATP8
REAC:913531	Interferon Signaling	0.00694	0.00694	1	TPR,IP6K2,EIF4G3,NUP50,GBP3,GBP1,TRIM25,XAF1,EIF4A2,ABCE1,STAT2,UBA7
REAC:1428517	The citric acid (TCA) cycle and respiratory electron transport	0.0498	0.0498	1	ADHFE1,DLAT,TMEM126B,MT-CO2,MT-CYB,MT-ND2,MT-ND5,MT-CO1,MT-ND4,MT-ND1,MT-ATP6,MT-CO3,MT-ATP8
REAC:163200	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	0.021	0.021	1	TMEM126B,MT-CO2,MT-CYB,MT-ND2,MT-ND5,MT-CO1,MT-ND4,MT-ND1,MT-ATP6,MT-CO3,MT-ATP8
REAC:72306	tRNA processing	0.000428	0.000428	1	NSUN2,TPR,NUP50,MT-CO2,MT-CYB,MT-ND2,MT-ND5,MT-CO1,MT-ND4,MT-ND1,MT-ATP6,MT-CO3,MT-ND4L,MT-ATP8,NSUN6
REAC:6785470	tRNA processing in the mitochondrion	5.16e-07	5.16e-07	1	MT-CO2,MT-CYB,MT-ND2,MT-ND5,MT-CO1,MT-ND4,MT-ND1,MT-ATP6,MT-CO3,MT-ND4L,MT-ATP8
REAC:72203	Processing of Capped Intron-Containing Pre-mRNA	8.94e-16	8.94e-16	1	RBM5,SKIV2L2,TPR,ZC3H11A,CCAR1,FUS,NUP50,SRSF5,PABPN1,SNRNP70,DDX5,DHX15,SF3B1,SRSF7,SRSF4,SRSF11,PRPF3,HNRNPA2B1,SRSF6,PPIL4,SNRPA1,RBM17,SRSF1,DDX46,CPSF7,SRSF2,NXF1,U2SURP,SRRM2,HNRNPH1,CSTF3,DDX39B
REAC:72172	mRNA Splicing	2.39e-14	2.39e-14	1	RBM5,SKIV2L2,CCAR1,FUS,SRSF5,PABPN1,SNRNP70,DDX5,DHX15,SF3B1,SRSF7,SRSF4,SRSF11,PRPF3,HNRNPA2B1,SRSF6,PPIL4,SNRPA1,RBM17,SRSF1,DDX46,CPSF7,SRSF2,U2SURP,SRRM2,HNRNPH1,CSTF3
REAC:72163	mRNA Splicing - Major Pathway	7.6e-15	7.6e-15	1	RBM5,SKIV2L2,CCAR1,FUS,SRSF5,PABPN1,SNRNP70,DDX5,DHX15,SF3B1,SRSF7,SRSF4,SRSF11,PRPF3,HNRNPA2B1,SRSF6,PPIL4,SNRPA1,RBM17,SRSF1,DDX46,CPSF7,SRSF2,U2SURP,SRRM2,HNRNPH1,CSTF3
REAC:72187	mRNA 3'-end processing	1.03e-09	1.03e-09	1	ZC3H11A,SRSF5,PABPN1,SRSF7,SRSF4,SRSF11,SRSF6,SRSF1,CPSF7,SRSF2,DDX39B
REAC:72202	Transport of Mature Transcript to Cytoplasm	5.16e-08	5.16e-08	1	TPR,ZC3H11A,SRSF5,SRSF7,SRSF4,SRSF11,SRSF6,SRSF1,SRSF2,NXF1,DDX39B
REAC:159236	Transport of Mature mRNA derived from an Intron-Containing Transcript	1.67e-08	1.67e-08	1	TPR,ZC3H11A,SRSF5,SRSF7,SRSF4,SRSF11,SRSF6,SRSF1,SRSF2,NXF1,DDX39B
REAC:73856	RNA Polymerase II Transcription Termination	3.59e-09	3.59e-09	1	ZC3H11A,SRSF5,PABPN1,SRSF7,SRSF4,SRSF11,SRSF6,SRSF1,CPSF7,SRSF2,DDX39B
REAC:109688	Cleavage of Growing Transcript in the Termination Region 	3.59e-09	3.59e-09	1	ZC3H11A,SRSF5,PABPN1,SRSF7,SRSF4,SRSF11,SRSF6,SRSF1,CPSF7,SRSF2,DDX39B
REAC:5368287	Mitochondrial translation	5.43e-20	5.43e-20	-1	MRPL43,MRPL28,MRPS18A,MRPL4,MRPL27,MRPL51,MRPL2,MRPL37,MRPS2,TSFM,MRPS7,MRPS26,MRPS12,MRPL34,ERAL1,MRPL44,MRPL24,MRPL10,MRPL55,MRPL16,CHCHD1,MRPL52,MRP63,MRPL11,AURKAIP1,TUFM,GADD45GIP1,MRPL14,MRPS11,MRPS16,MRPL54,MRPL40,MRPS18B,MRPL23,MRPL12
REAC:5389840	Mitochondrial translation elongation	4.71e-21	4.71e-21	-1	MRPL43,MRPL28,MRPS18A,MRPL4,MRPL27,MRPL51,MRPL2,MRPL37,MRPS2,TSFM,MRPS7,MRPS26,MRPS12,MRPL34,ERAL1,MRPL44,MRPL24,MRPL10,MRPL55,MRPL16,CHCHD1,MRPL52,MRP63,MRPL11,AURKAIP1,TUFM,GADD45GIP1,MRPL14,MRPS11,MRPS16,MRPL54,MRPL40,MRPS18B,MRPL23,MRPL12
REAC:5419276	Mitochondrial translation termination	5.75e-19	5.75e-19	-1	MRPL43,MRPL28,MRPS18A,MRPL4,MRPL27,MRPL51,MRPL2,MRPL37,MRPS2,MRPS7,MRPS26,MRPS12,MRPL34,ERAL1,MRPL44,MRPL24,MRPL10,MRPL55,MRPL16,CHCHD1,MRPL52,MRP63,MRPL11,AURKAIP1,GADD45GIP1,MRPL14,MRPS11,MRPS16,MRPL54,MRPL40,MRPS18B,MRPL23,MRPL12
REAC:5368286	Mitochondrial translation initiation	5.75e-19	5.75e-19	-1	MRPL43,MRPL28,MRPS18A,MRPL4,MRPL27,MRPL51,MRPL2,MRPL37,MRPS2,MRPS7,MRPS26,MRPS12,MRPL34,ERAL1,MRPL44,MRPL24,MRPL10,MRPL55,MRPL16,CHCHD1,MRPL52,MRP63,MRPL11,AURKAIP1,GADD45GIP1,MRPL14,MRPS11,MRPS16,MRPL54,MRPL40,MRPS18B,MRPL23,MRPL12
REAC:1428517	The citric acid (TCA) cycle and respiratory electron transport	1.93e-20	1.93e-20	-1	UQCRC1,NDUFB4,SDHA,NDUFB2,ATP5D,NDUFB7,IDH3B,ETFB,NDUFC1,NDUFS8,ATP5B,NDUFS7,NDUFA8,ATP5E,COX6B1,TRAP1,UQCR11,ECSIT,COX4I1,NDUFA2,COX16,ATP5G2,TACO1,NDUFAF1,NDUFA9,NDUFB10,NDUFS6,MDH2,NDUFB11,SURF1,NDUFC2,ATP5G3,ATP5J,ATP5G1,NDUFB6,NDUFV1,UQCRFS1,NDUFA3,BSG,NDUFA11,COX8A,ACAD9,NDUFAF3,COX14,IDH2,UQCR10,NDUFA13,NDUFA4,NDUFS3,ATP5O
REAC:163200	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	3.05e-23	3.05e-23	-1	UQCRC1,NDUFB4,SDHA,NDUFB2,ATP5D,NDUFB7,ETFB,NDUFC1,NDUFS8,ATP5B,NDUFS7,NDUFA8,ATP5E,COX6B1,TRAP1,UQCR11,ECSIT,COX4I1,NDUFA2,COX16,ATP5G2,TACO1,NDUFAF1,NDUFA9,NDUFB10,NDUFS6,NDUFB11,SURF1,NDUFC2,ATP5G3,ATP5J,ATP5G1,NDUFB6,NDUFV1,UQCRFS1,NDUFA3,NDUFA11,COX8A,ACAD9,NDUFAF3,COX14,UQCR10,NDUFA13,NDUFA4,NDUFS3,ATP5O
REAC:611105	Respiratory electron transport	1.48e-19	1.48e-19	-1	UQCRC1,NDUFB4,SDHA,NDUFB2,NDUFB7,ETFB,NDUFC1,NDUFS8,NDUFS7,NDUFA8,COX6B1,TRAP1,UQCR11,ECSIT,COX4I1,NDUFA2,COX16,TACO1,NDUFAF1,NDUFA9,NDUFB10,NDUFS6,NDUFB11,SURF1,NDUFC2,NDUFB6,NDUFV1,UQCRFS1,NDUFA3,NDUFA11,COX8A,ACAD9,COX14,UQCR10,NDUFA13,NDUFA4,NDUFS3
