GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:446203	Asparagine N-linked glycosylation	1.32e-10	1.32e-10	1	ARF5,TRAPPC6A,TRAPPC3,CTSA,DERL2,CAPZB,EDEM2,DYNLL1,GANAB,NANS,PMM1,COG4,KDELR1,COPE,MLEC,COPZ1,LMAN2L,MOGS,B4GALT2,RPN2,TMEM115,MPDU1,DAD1,PRKCSH,MGAT1,ACTR10,ARF3,STT3A,OS9,UGGT1,DPM2,DCTN3,ACTR1A,CSNK1D,ARF1,GMPPA,ARFGAP2,SEC13,B4GALT3,ALG8,UBXN1,STX5,RPN1,VCP,TMED3,LMAN2,TRAPPC1,GLB1,DPAGT1,RAB1B,DCTN2,DOLK,SEC24C,MAN1B1,BET1L,DPM3,CALR,COPG1,NUDT14,TMED9,DYNC1H1,RNF5,NEU1,DCTN1,ALG3,UBA52,DDOST,DYNLL2
REAC:532668	N-glycan trimming in the ER and Calnexin/Calreticulin cycle	1.97e-05	1.97e-05	1	DERL2,EDEM2,GANAB,MLEC,MOGS,PRKCSH,OS9,UGGT1,UBXN1,VCP,MAN1B1,CALR,RNF5,UBA52
REAC:901042	Calnexin/calreticulin cycle	0.000598	0.000598	1	DERL2,EDEM2,GANAB,PRKCSH,OS9,UGGT1,MAN1B1,CALR,RNF5,UBA52
REAC:948021	Transport to the Golgi and subsequent modification	7.12e-05	7.12e-05	1	ARF5,TRAPPC6A,TRAPPC3,CAPZB,DYNLL1,COG4,KDELR1,COPE,COPZ1,LMAN2L,B4GALT2,TMEM115,MGAT1,ACTR10,ARF3,DCTN3,ACTR1A,CSNK1D,ARF1,ARFGAP2,SEC13,B4GALT3,STX5,TMED3,LMAN2,TRAPPC1,RAB1B,DCTN2,SEC24C,BET1L,COPG1,TMED9,DYNC1H1,DCTN1,DYNLL2
REAC:199977	ER to Golgi Anterograde Transport	1.51e-05	1.51e-05	1	ARF5,TRAPPC6A,TRAPPC3,CAPZB,DYNLL1,COG4,KDELR1,COPE,COPZ1,LMAN2L,TMEM115,ACTR10,ARF3,DCTN3,ACTR1A,CSNK1D,ARF1,ARFGAP2,SEC13,STX5,TMED3,LMAN2,TRAPPC1,RAB1B,DCTN2,SEC24C,BET1L,COPG1,TMED9,DYNC1H1,DCTN1,DYNLL2
REAC:6807878	COPI-mediated anterograde transport	7.11e-06	7.11e-06	1	ARF5,CAPZB,DYNLL1,COG4,KDELR1,COPE,COPZ1,TMEM115,ACTR10,ARF3,DCTN3,ACTR1A,ARF1,ARFGAP2,STX5,TMED3,RAB1B,DCTN2,BET1L,COPG1,TMED9,DYNC1H1,DCTN1,DYNLL2
REAC:446193	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	0.0356	0.0356	1	NANS,PMM1,MPDU1,DPM2,GMPPA,ALG8,GLB1,DOLK,DPM3,NEU1,ALG3
REAC:75955	RNA Polymerase II Transcription Elongation	0.000207	0.000207	1	PAF1,POLR2E,POLR2I,GTF2F1,SSRP1,POLR2G,POLR2L,NELFB,NELFE,SUPT4H1
REAC:112382	Formation of RNA Pol II elongation complex 	0.000207	0.000207	1	PAF1,POLR2E,POLR2I,GTF2F1,SSRP1,POLR2G,POLR2L,NELFB,NELFE,SUPT4H1
REAC:6804756	Regulation of TP53 Activity through Phosphorylation	0.045	0.045	1	RFC2,TAF11,CSNK2A2,TPX2,CSNK2A1,RPA3,RPA2,PIN1,RPA1,TP53,SSRP1,TAF10,PRKAG1,NOC2L,CSNK2B,UBA52
REAC:5696398	Nucleotide Excision Repair	2.91e-11	2.91e-11	1	POLR2J,RFC2,XRCC1,ACTB,XAB2,POLR2E,RBX1,POLR2I,TFPT,RPA3,POLD2,PRPF19,COPS7A,INO80B,POLE4,SUMO1,RPA2,RPA1,PCNA,DDB2,COPS3,PARP1,POLR2D,DDB1,POLR2G,COPS6,GPS1,POLR2L,RAD23A,SUMO3,MCRS1,SUMO2,UBA52
REAC:5696399	Global Genome Nucleotide Excision Repair (GG-NER)	1.1e-08	1.1e-08	1	RFC2,XRCC1,ACTB,RBX1,TFPT,RPA3,POLD2,COPS7A,INO80B,POLE4,SUMO1,RPA2,RPA1,PCNA,DDB2,COPS3,PARP1,DDB1,COPS6,GPS1,RAD23A,SUMO3,MCRS1,SUMO2,UBA52
REAC:5696395	Formation of Incision Complex in GG-NER	0.000194	0.000194	1	RBX1,RPA3,SUMO1,RPA2,RPA1,DDB2,PARP1,DDB1,RAD23A,SUMO3,SUMO2,UBA52
REAC:5696394	DNA Damage Recognition in GG-NER	9.72e-07	9.72e-07	1	ACTB,RBX1,TFPT,COPS7A,INO80B,DDB2,COPS3,PARP1,DDB1,COPS6,GPS1,RAD23A,MCRS1,UBA52
REAC:5696400	Dual Incision in GG-NER	0.000172	0.000172	1	RFC2,RBX1,RPA3,POLD2,POLE4,RPA2,RPA1,PCNA,DDB2,PARP1,DDB1,UBA52
REAC:6781827	Transcription-Coupled Nucleotide Excision Repair (TC-NER)	5.72e-08	5.72e-08	1	POLR2J,RFC2,XRCC1,XAB2,POLR2E,RBX1,POLR2I,RPA3,POLD2,PRPF19,COPS7A,POLE4,RPA2,RPA1,PCNA,COPS3,POLR2D,DDB1,POLR2G,COPS6,GPS1,POLR2L,UBA52
REAC:6781823	Formation of TC-NER Pre-Incision Complex	2.4e-05	2.4e-05	1	POLR2J,XAB2,POLR2E,RBX1,POLR2I,PRPF19,COPS7A,COPS3,POLR2D,DDB1,POLR2G,COPS6,GPS1,POLR2L,UBA52
REAC:6782210	Gap-filling DNA repair synthesis and ligation in TC-NER	9.72e-07	9.72e-07	1	POLR2J,RFC2,XRCC1,XAB2,POLR2E,RBX1,POLR2I,RPA3,POLD2,PRPF19,POLE4,RPA2,RPA1,PCNA,POLR2D,DDB1,POLR2G,POLR2L,UBA52
REAC:6782135	Dual incision in TC-NER	5.88e-06	5.88e-06	1	POLR2J,RFC2,XAB2,POLR2E,RBX1,POLR2I,RPA3,POLD2,PRPF19,POLE4,RPA2,RPA1,PCNA,POLR2D,DDB1,POLR2G,POLR2L,UBA52
REAC:201681	TCF dependent signaling in response to WNT	4.05e-05	4.05e-05	1	PSMB1,PSMA4,PSMD8,CBY1,RBX1,PSMB5,PPP2R1A,PSMB6,PSMD4,PSMB4,CTBP1,PYGO2,H2AFZ,PSMC3,CTNNBIP1,PSMD13,CSNK2B,UBA52,H2AFJ,PSMB3
