GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:69242	S Phase	1.2e-05	1.2e-05	1	PSMC4,PSMC5,PSMD8,PSMA7,RPA3,POLD2,PSMD3,SHFM1,PSMB7,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:69656	Cyclin A:Cdk2-associated events at S phase entry	4.85e-07	4.85e-07	1	PSMC4,PSMC5,PSMD8,PSMA7,PSMD3,SHFM1,PSMB7,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:75815	Ubiquitin-dependent degradation of Cyclin D	5.2e-09	5.2e-09	1	PSMC4,PSMC5,PSMD8,PSMA7,PSMD3,SHFM1,PSMB7,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:69229	Ubiquitin-dependent degradation of Cyclin D1	5.2e-09	5.2e-09	1	PSMC4,PSMC5,PSMD8,PSMA7,PSMD3,SHFM1,PSMB7,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:453279	Mitotic G1-G1/S phases	2.37e-05	2.37e-05	1	PSMC4,PSMC5,PSMD8,PSMA7,RPA3,PSMD3,SHFM1,PSMB7,PSMB6,PSMD4,PSMB4,PSMC3,TK1,PSMD13,UBA52,PSMB3
REAC:69206	G1/S Transition	4.69e-06	4.69e-06	1	PSMC4,PSMC5,PSMD8,PSMA7,RPA3,PSMD3,SHFM1,PSMB7,PSMB6,PSMD4,PSMB4,PSMC3,TK1,PSMD13,UBA52,PSMB3
REAC:69202	Cyclin E associated events during G1/S transition 	5.49e-07	5.49e-07	1	PSMC4,PSMC5,PSMD8,PSMA7,PSMD3,SHFM1,PSMB7,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:187577	SCF(Skp2)-mediated degradation of p27/p21	1.67e-08	1.67e-08	1	PSMC4,PSMC5,PSMD8,PSMA7,PSMD3,SHFM1,PSMB7,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:69306	DNA Replication	4.87e-07	4.87e-07	1	PSMC4,PSMC5,PSMD8,PSMA7,RPA3,POLD2,PSMD3,SHFM1,PSMB7,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:69239	Synthesis of DNA	1.82e-07	1.82e-07	1	PSMC4,PSMC5,PSMD8,PSMA7,RPA3,POLD2,PSMD3,SHFM1,PSMB7,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:69052	Switching of origins to a post-replicative state	1.04e-07	1.04e-07	1	PSMC4,PSMC5,PSMD8,PSMA7,PSMD3,SHFM1,PSMB7,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:68874	M/G1 Transition	1.4e-07	1.4e-07	1	PSMC4,PSMC5,PSMD8,PSMA7,RPA3,PSMD3,SHFM1,PSMB7,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:69002	DNA Replication Pre-Initiation	1.4e-07	1.4e-07	1	PSMC4,PSMC5,PSMD8,PSMA7,RPA3,PSMD3,SHFM1,PSMB7,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:68867	Assembly of the pre-replicative complex	6.4e-08	6.4e-08	1	PSMC4,PSMC5,PSMD8,PSMA7,PSMD3,SHFM1,PSMB7,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:68827	CDT1 association with the CDC6:ORC:origin complex	1.55e-08	1.55e-08	1	PSMC4,PSMC5,PSMD8,PSMA7,PSMD3,SHFM1,PSMB7,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:69304	Regulation of DNA replication	2.21e-07	2.21e-07	1	PSMC4,PSMC5,PSMD8,PSMA7,PSMD3,SHFM1,PSMB7,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:69300	Removal of licensing factors from origins	1.43e-07	1.43e-07	1	PSMC4,PSMC5,PSMD8,PSMA7,PSMD3,SHFM1,PSMB7,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:68949	Orc1 removal from chromatin	1.04e-07	1.04e-07	1	PSMC4,PSMC5,PSMD8,PSMA7,PSMD3,SHFM1,PSMB7,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:69017	CDK-mediated phosphorylation and removal of Cdc6	5.2e-09	5.2e-09	1	PSMC4,PSMC5,PSMD8,PSMA7,PSMD3,SHFM1,PSMB7,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:453276	Regulation of mitotic cell cycle	1.58e-07	1.58e-07	1	PSMC4,PSMC5,PSMD8,PSMA7,PSMD3,SHFM1,PSMB7,ANAPC11,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:174143	APC/C-mediated degradation of cell cycle proteins	1.58e-07	1.58e-07	1	PSMC4,PSMC5,PSMD8,PSMA7,PSMD3,SHFM1,PSMB7,ANAPC11,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:176408	Regulation of APC/C activators between G1/S and early anaphase	6.59e-08	6.59e-08	1	PSMC4,PSMC5,PSMD8,PSMA7,PSMD3,SHFM1,PSMB7,ANAPC11,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:174113	SCF-beta-TrCP mediated degradation of Emi1	7.71e-09	7.71e-09	1	PSMC4,PSMC5,PSMD8,PSMA7,PSMD3,SHFM1,PSMB7,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:174084	Autodegradation of Cdh1 by Cdh1:APC/C	5.89e-09	5.89e-09	1	PSMC4,PSMC5,PSMD8,PSMA7,PSMD3,SHFM1,PSMB7,ANAPC11,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:176814	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	3.78e-08	3.78e-08	1	PSMC4,PSMC5,PSMD8,PSMA7,PSMD3,SHFM1,PSMB7,ANAPC11,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:176409	APC/C:Cdc20 mediated degradation of mitotic proteins	3.25e-08	3.25e-08	1	PSMC4,PSMC5,PSMD8,PSMA7,PSMD3,SHFM1,PSMB7,ANAPC11,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:174154	APC/C:Cdc20 mediated degradation of Securin	1.07e-08	1.07e-08	1	PSMC4,PSMC5,PSMD8,PSMA7,PSMD3,SHFM1,PSMB7,ANAPC11,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
REAC:179419	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	2.38e-08	2.38e-08	1	PSMC4,PSMC5,PSMD8,PSMA7,PSMD3,SHFM1,PSMB7,ANAPC11,PSMB6,PSMD4,PSMB4,PSMC3,PSMD13,UBA52,PSMB3
