GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:425407	SLC-mediated transmembrane transport	0.0123	0.0123	1	SLC7A2,TPR,SLC15A1,NUP50,SLC35D1,SLC35A3,NUP153,SLCO1B1,SLC41A2,SLC22A7,SLC38A4,SLC6A1,SLC2A2,ALB,SLC30A1,SLC22A1,SLC30A10
REAC:211859	Biological oxidations	1.84e-08	1.84e-08	1	FMO3,NR1H4,ACSM2B,CYP2D6,SULT2A1,CYP3A5,UGT2B10,AADAC,SLC35D1,MARC2,FDX1,CYP2C9,CYP2C8,NCOA2,ARNT,CYP4V2,GLYAT,UGT2B4,CYP4A22,GLYATL1,CYP7A1,MAT2A,UGP2,UGT2B7,ACSM2A,CYP4F12,MARC1,CYP4F3,CYP4A11,ADH1A,UGT2B15,CYP2B6,PAPSS2,GSTA1
REAC:211945	Phase 1 - Functionalization of compounds	1.88e-06	1.88e-06	1	FMO3,NR1H4,CYP2D6,CYP3A5,FDX1,CYP2C9,CYP2C8,NCOA2,ARNT,CYP4V2,CYP4A22,CYP7A1,CYP4F12,CYP4F3,CYP4A11,ADH1A,CYP2B6
REAC:211897	Cytochrome P450 - arranged by substrate type	1.88e-06	1.88e-06	1	NR1H4,CYP2D6,CYP3A5,FDX1,CYP2C9,CYP2C8,NCOA2,ARNT,CYP4V2,CYP4A22,CYP7A1,CYP4F12,CYP4F3,CYP4A11,CYP2B6
REAC:156580	Phase II conjugation	0.00493	0.00493	1	ACSM2B,SULT2A1,UGT2B10,SLC35D1,GLYAT,UGT2B4,GLYATL1,MAT2A,UGP2,UGT2B7,ACSM2A,UGT2B15,PAPSS2,GSTA1
REAC:446203	Asparagine N-linked glycosylation	0.0404	0.0404	1	SEL1L,GNPNAT1,MAN2A1,SEC24A,SPTBN1,EDEM3,UAP1,COG3,USO1,SEC24B,MARCH6,SAR1B,MIA3,GNE,GOLGB1,MAN2A2,F5
REAC:70326	Glucose metabolism	0.00722	0.00722	1	TPR,NUP50,GYS2,NUP153,G6PC,ALDOB,PPP2R1B,PKLR,PFKFB1,ADPGK,FBP1,UGP2
REAC:535734	Fatty acid, triacylglycerol, and ketone body metabolism	0.000101	0.000101	1	NFYA,NR1H4,EP300,LPIN2,SULT2A1,CPT1A,HMGCS1,ACADM,GPAM,PRKAB2,HMGCS2,NCOA2,ARNT,CBR4,MUT,ACSL1,BDH1,ACOX1,BDH2,ABCA1,PEX11A,CYP7A1,ACOT12,PPARA,CYP4A11,ELOVL2
REAC:400206	Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)	0.000373	0.000373	1	NFYA,NR1H4,EP300,SULT2A1,CPT1A,HMGCS1,ACADM,HMGCS2,NCOA2,ARNT,ACSL1,ACOX1,ABCA1,PEX11A,CYP7A1,PPARA,CYP4A11
REAC:1989781	PPARA activates gene expression	0.000308	0.000308	1	NFYA,NR1H4,EP300,SULT2A1,CPT1A,HMGCS1,ACADM,HMGCS2,NCOA2,ARNT,ACSL1,ACOX1,ABCA1,PEX11A,CYP7A1,PPARA,CYP4A11
