GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:168254	Influenza Infection	0.0128	0.0128	1	AAAS,POLR2I,RPL18A,RPL28,RPS15,RPL35,RPL38,POLR2L,RPS26,RPS4X
REAC:168255	Influenza Life Cycle	0.00812	0.00812	1	AAAS,POLR2I,RPL18A,RPL28,RPS15,RPL35,RPL38,POLR2L,RPS26,RPS4X
REAC:168273	Influenza Viral RNA Transcription and Replication	0.00512	0.00512	1	AAAS,POLR2I,RPL18A,RPL28,RPS15,RPL35,RPL38,POLR2L,RPS26,RPS4X
REAC:1428517	The citric acid (TCA) cycle and respiratory electron transport	5.04e-13	5.04e-13	1	NDUFB4,IDH3G,ATP5D,NDUFB7,NDUFC1,NDUFS8,COX6A1,NDUFA2,ATP5G2,COX5B,NDUFB11,NDUFC2,ATP5G3,ATP5J,ATP5G1,NDUFV3,UQCRQ,NDUFA3,COX8A,NDUFAF3,COX5A,NDUFA12,ATP5J2
REAC:163200	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	1.43e-14	1.43e-14	1	NDUFB4,ATP5D,NDUFB7,NDUFC1,NDUFS8,COX6A1,NDUFA2,ATP5G2,COX5B,NDUFB11,NDUFC2,ATP5G3,ATP5J,ATP5G1,NDUFV3,UQCRQ,NDUFA3,COX8A,NDUFAF3,COX5A,NDUFA12,ATP5J2
REAC:611105	Respiratory electron transport	8.87e-10	8.87e-10	1	NDUFB4,NDUFB7,NDUFC1,NDUFS8,COX6A1,NDUFA2,COX5B,NDUFB11,NDUFC2,NDUFV3,UQCRQ,NDUFA3,COX8A,NDUFAF3,COX5A,NDUFA12
REAC:6799198	Complex I biogenesis	3.2e-08	3.2e-08	1	NDUFB4,NDUFB7,NDUFC1,NDUFS8,NDUFA2,NDUFB11,NDUFC2,NDUFV3,NDUFA3,NDUFAF3,NDUFA12
REAC:162906	HIV Infection	0.0223	0.0223	1	AAAS,POLR2I,PSMB2,AP1M2,GTF2A2,TAF10,PACS1,BANF1,POLR2L,NELFA,SUPT4H1
REAC:72766	Translation	0.00115	0.00115	1	MRPL22,MRPL4,RPL18A,RPL28,RPS15,MRPS2,MRPL34,RPL35,MRPL10,RPL38,MRP63,GADD45GIP1,SSR4,MRPS11,RPS26,RPS4X,MRPS6
REAC:72203	Processing of Capped Intron-Containing Pre-mRNA	0.000482	0.000482	-1	RBM5,TPR,ZC3H11A,CCAR1,NUP133,HNRNPM,NUP107,SF3B1,SRSF7,SRSF11,HNRNPA2B1,DHX38,HNRNPU,RANBP2,U2SURP,PCF11,SRSF10
