GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:72312	rRNA processing	7.95e-40	7.95e-40	1	RPL18,RPL31,HSD17B10,RPS5,RPLP0,NHP2L1,RPL3,RPS19,RPL18A,DDX49,RPL19,RPS13,RPS12,RRP9,RPS15,RPS10,RPL36,RPL27,RPS6,RPS2,RPS11,RPL13A,RPL32,RPL37,RPL10,RPL7,RPS3,FAU,RPL30,RPL8,RPS14,RPSA,RPS9,RPS21,RPS7,RPL38,IMP3,EXOSC4,RPL37A,RPL12,RPL23A,RPL10A,RPL39,RPS29,UBA52,RPL41,RPS18,RPS28
REAC:168254	Influenza Infection	2.32e-40	2.32e-40	1	RPL18,RPL31,RPS5,RPLP0,RPL3,RPS19,RPL18A,RPL19,RPS13,RPS12,RPS15,RPS10,RPL36,RPL27,RPS2,RPS11,RPL13A,RPL32,RPL37,RPL10,RPL7,RPS3,FAU,RPL30,RPL8,RPS14,RPSA,RPS9,RPS21,RPS7,RPL38,RPL37A,RPL12,RPL23A,RPL10A,RPL39,RPS29,UBA52,RPL41,RPS18,RPS28
REAC:168255	Influenza Life Cycle	8.15e-42	8.15e-42	1	RPL18,RPL31,RPS5,RPLP0,RPL3,RPS19,RPL18A,RPL19,RPS13,RPS12,RPS15,RPS10,RPL36,RPL27,RPS2,RPS11,RPL13A,RPL32,RPL37,RPL10,RPL7,RPS3,FAU,RPL30,RPL8,RPS14,RPSA,RPS9,RPS21,RPS7,RPL38,RPL37A,RPL12,RPL23A,RPL10A,RPL39,RPS29,UBA52,RPL41,RPS18,RPS28
REAC:168273	Influenza Viral RNA Transcription and Replication	4.18e-43	4.18e-43	1	RPL18,RPL31,RPS5,RPLP0,RPL3,RPS19,RPL18A,RPL19,RPS13,RPS12,RPS15,RPS10,RPL36,RPL27,RPS2,RPS11,RPL13A,RPL32,RPL37,RPL10,RPL7,RPS3,FAU,RPL30,RPL8,RPS14,RPSA,RPS9,RPS21,RPS7,RPL38,RPL37A,RPL12,RPL23A,RPL10A,RPL39,RPS29,UBA52,RPL41,RPS18,RPS28
REAC:192823	Viral mRNA Translation	1.4e-51	1.4e-51	1	RPL18,RPL31,RPS5,RPLP0,RPL3,RPS19,RPL18A,RPL19,RPS13,RPS12,RPS15,RPS10,RPL36,RPL27,RPS6,RPS2,RPS11,RPL13A,RPL32,RPL37,RPL10,RPL7,RPS3,FAU,RPL30,RPL8,RPS14,RPSA,RPS9,RPS21,RPS7,RPL38,RPL37A,RPL12,RPL23A,RPL10A,RPL39,RPS29,UBA52,RPL41,RPS18,RPS28
REAC:2559583	Cellular Senescence	7.38e-13	7.38e-13	1	HIST1H2BJ,ANAPC11,HIST1H4H,HIST1H1E,UBB,HIST1H2BC,HIST2H3D,HIST2H2AC,HIST1H4C,HIST1H4J,HIST4H4,HIST1H2BK,UBA52,HIST1H3B,HIST1H3A,HIST1H4D,HIST1H4A,HIST1H4B,HIST1H3H
REAC:2559586	DNA Damage/Telomere Stress Induced Senescence	1.53e-10	1.53e-10	1	HIST1H2BJ,HIST1H4H,HIST1H1E,HIST1H2BC,HIST2H2AC,HIST1H4C,HIST1H4J,HIST4H4,HIST1H2BK,HIST1H4D,HIST1H4A,HIST1H4B
REAC:2559580	Oxidative Stress Induced Senescence	8.04e-14	8.04e-14	1	HIST1H2BJ,HIST1H4H,UBB,HIST1H2BC,HIST2H3D,HIST2H2AC,HIST1H4C,HIST1H4J,HIST4H4,HIST1H2BK,UBA52,HIST1H3B,HIST1H3A,HIST1H4D,HIST1H4A,HIST1H4B,HIST1H3H
REAC:2559582	Senescence-Associated Secretory Phenotype (SASP)	4.8e-16	4.8e-16	1	HIST1H2BJ,ANAPC11,HIST1H4H,UBB,HIST1H2BC,HIST2H3D,HIST2H2AC,HIST1H4C,HIST1H4J,HIST4H4,HIST1H2BK,UBA52,HIST1H3B,HIST1H3A,HIST1H4D,HIST1H4A,HIST1H4B,HIST1H3H
REAC:5619507	Activation of HOX genes during differentiation	9.93e-12	9.93e-12	1	HIST1H2BJ,HIST1H4H,HIST1H2BC,HIST2H3D,HIST2H2AC,HIST1H4C,HIST1H4J,HIST4H4,HIST1H2BK,HIST1H3B,HIST1H3A,HIST1H4D,HIST1H4A,HIST1H4B,HIST1H3H
REAC:5617472	Activation of anterior HOX genes in hindbrain development during early embryogenesis	9.93e-12	9.93e-12	1	HIST1H2BJ,HIST1H4H,HIST1H2BC,HIST2H3D,HIST2H2AC,HIST1H4C,HIST1H4J,HIST4H4,HIST1H2BK,HIST1H3B,HIST1H3A,HIST1H4D,HIST1H4A,HIST1H4B,HIST1H3H
REAC:72766	Translation	1.05e-46	1.05e-46	1	RPL18,RPL31,RPS5,EIF3I,RPLP0,RPL3,EIF3D,RPS19,RPL18A,RPL19,RPS13,RPS12,EEF1B2,RPS15,RPS10,MRPS26,MRPS12,RPL36,RPL27,RPS2,RPS11,RPL13A,RPL32,RPL37,RPL10,RPL7,RPS3,FAU,RPL30,EEF1A1,RPL8,APEH,RPS14,RPSA,RPS9,RPS21,RPS7,RPL38,AURKAIP1,FARSA,GADD45GIP1,SSR4,MRPL41,MRPL54,EIF4EBP1,RPL37A,RPL12,RPL23A,RPL10A,RPL39,RPS29,UBA52,RPL41,RPS18,RPS28,DDOST
REAC:1799339	SRP-dependent cotranslational protein targeting to membrane	3.53e-50	3.53e-50	1	RPL18,RPL31,RPS5,RPLP0,RPL3,RPS19,RPL18A,RPL19,RPS13,RPS12,RPS15,RPS10,RPL36,RPL27,RPS6,RPS2,RPS11,RPL13A,RPL32,RPL37,RPL10,RPL7,RPS3,FAU,RPL30,RPL8,RPS14,RPSA,RPS9,RPS21,RPS7,RPL38,SSR4,RPL37A,RPL12,RPL23A,RPL10A,RPL39,RPS29,UBA52,RPL41,RPS18,RPS28,DDOST
REAC:156842	Eukaryotic Translation Elongation	2.65e-53	2.65e-53	1	RPL18,RPL31,RPS5,RPLP0,RPL3,RPS19,RPL18A,RPL19,RPS13,RPS12,EEF1B2,RPS15,RPS10,RPL36,RPL27,RPS6,RPS2,RPS11,RPL13A,RPL32,RPL37,RPL10,RPL7,RPS3,FAU,RPL30,EEF1A1,RPL8,RPS14,RPSA,RPS9,RPS21,RPS7,RPL38,RPL37A,RPL12,RPL23A,RPL10A,RPL39,RPS29,UBA52,RPL41,RPS18,RPS28
REAC:156902	Peptide chain elongation	4.58e-53	4.58e-53	1	RPL18,RPL31,RPS5,RPLP0,RPL3,RPS19,RPL18A,RPL19,RPS13,RPS12,RPS15,RPS10,RPL36,RPL27,RPS6,RPS2,RPS11,RPL13A,RPL32,RPL37,RPL10,RPL7,RPS3,FAU,RPL30,EEF1A1,RPL8,RPS14,RPSA,RPS9,RPS21,RPS7,RPL38,RPL37A,RPL12,RPL23A,RPL10A,RPL39,RPS29,UBA52,RPL41,RPS18,RPS28
REAC:72764	Eukaryotic Translation Termination	3.56e-52	3.56e-52	1	RPL18,RPL31,RPS5,RPLP0,RPL3,RPS19,RPL18A,RPL19,RPS13,RPS12,RPS15,RPS10,RPL36,RPL27,RPS6,RPS2,RPS11,RPL13A,RPL32,RPL37,RPL10,RPL7,RPS3,FAU,RPL30,RPL8,APEH,RPS14,RPSA,RPS9,RPS21,RPS7,RPL38,RPL37A,RPL12,RPL23A,RPL10A,RPL39,RPS29,UBA52,RPL41,RPS18,RPS28
REAC:72613	Eukaryotic Translation Initiation	2.16e-50	2.16e-50	1	RPL18,RPL31,RPS5,EIF3I,RPLP0,RPL3,EIF3D,RPS19,RPL18A,RPL19,RPS13,RPS12,RPS15,RPS10,RPL36,RPL27,RPS2,RPS11,RPL13A,RPL32,RPL37,RPL10,RPL7,RPS3,FAU,RPL30,RPL8,RPS14,RPSA,RPS9,RPS21,RPS7,RPL38,EIF4EBP1,RPL37A,RPL12,RPL23A,RPL10A,RPL39,RPS29,UBA52,RPL41,RPS18,RPS28
REAC:72737	Cap-dependent Translation Initiation	2.16e-50	2.16e-50	1	RPL18,RPL31,RPS5,EIF3I,RPLP0,RPL3,EIF3D,RPS19,RPL18A,RPL19,RPS13,RPS12,RPS15,RPS10,RPL36,RPL27,RPS2,RPS11,RPL13A,RPL32,RPL37,RPL10,RPL7,RPS3,FAU,RPL30,RPL8,RPS14,RPSA,RPS9,RPS21,RPS7,RPL38,EIF4EBP1,RPL37A,RPL12,RPL23A,RPL10A,RPL39,RPS29,UBA52,RPL41,RPS18,RPS28
