GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:168254	Influenza Infection	2.99e-45	2.99e-45	1	RPL18,RPL31,RPL3,RPS16,POLR2I,RPL18A,RPL28,RPL19,RPL34,RPL24,RPS15,RPL22,RPS25,RPL5,GTF2F1,RPL23,RPL36,RPL35,RPS6,RPLP1,RPS24,RPS2,RPS11,RPS8,RPL32,RPL37,RPL10,RPL7A,RPS3,FAU,RPL30,RPL8,RPL29,RPL9,RPS14,RPL36AL,RPL27A,RPL13,RPS9,RPS21,RPL38,RPL4,RPLP2,ISG15,RPL14,RPL12,HSPA1A,RPS18,RPS28,RPL36A
REAC:168255	Influenza Life Cycle	1.36e-45	1.36e-45	1	RPL18,RPL31,RPL3,RPS16,POLR2I,RPL18A,RPL28,RPL19,RPL34,RPL24,RPS15,RPL22,RPS25,RPL5,GTF2F1,RPL23,RPL36,RPL35,RPS6,RPLP1,RPS24,RPS2,RPS11,RPS8,RPL32,RPL37,RPL10,RPL7A,RPS3,FAU,RPL30,RPL8,RPL29,RPL9,RPS14,RPL36AL,RPL27A,RPL13,RPS9,RPS21,RPL38,RPL4,RPLP2,RPL14,RPL12,HSPA1A,RPS18,RPS28,RPL36A
REAC:168273	Influenza Viral RNA Transcription and Replication	1.16e-45	1.16e-45	1	RPL18,RPL31,RPL3,RPS16,POLR2I,RPL18A,RPL28,RPL19,RPL34,RPL24,RPS15,RPL22,RPS25,RPL5,GTF2F1,RPL23,RPL36,RPL35,RPS6,RPLP1,RPS24,RPS2,RPS11,RPS8,RPL32,RPL37,RPL10,RPL7A,RPS3,FAU,RPL30,RPL8,RPL29,RPL9,RPS14,RPL36AL,RPL27A,RPL13,RPS9,RPS21,RPL38,RPL4,RPLP2,RPL14,RPL12,RPS18,RPS28,RPL36A
REAC:192823	Viral mRNA Translation	3.31e-52	3.31e-52	1	RPL18,RPL31,RPL3,RPS16,RPL18A,RPL28,RPL19,RPL34,RPL24,RPS15,RPL22,RPS25,RPL5,RPL23,RPL36,RPL35,RPS6,RPLP1,RPS24,RPS2,RPS11,RPS8,RPL32,RPL37,RPL10,RPL7A,RPS3,FAU,RPL30,RPL8,RPL29,RPL9,RPS14,RPL36AL,RPL27A,RPL13,RPS9,RPS21,RPL38,RPL4,RPLP2,RPL14,RPL12,RPS18,RPS28,RPL36A
REAC:72766	Translation	1.37e-33	1.37e-33	1	RPL18,RPL31,RPL3,EIF3E,EEF1D,RPS16,RPL18A,RPL28,RPL19,RPL34,RPL24,RPS15,DARS,RPL22,RPS25,MRPS2,RPL5,RPL23,RPL36,RPL35,RPS6,RPLP1,RPS24,RPS2,RPS11,RPS8,RPL32,RPL37,RPL10,RPL7A,RPS3,FAU,RPL30,RPL8,RPL29,RPL9,RPS14,RPL36AL,RPL27A,RPL13,RPS9,RPS21,RPL38,TRMT112,MRP63,RPL4,RPLP2,MRPL54,RPL14,RPL12,RPS18,RPS28,RPL36A
REAC:72613	Eukaryotic Translation Initiation	5.6e-47	5.6e-47	1	RPL18,RPL31,RPL3,EIF3E,RPS16,RPL18A,RPL28,RPL19,RPL34,RPL24,RPS15,RPL22,RPS25,RPL5,RPL23,RPL36,RPL35,RPS6,RPLP1,RPS24,RPS2,RPS11,RPS8,RPL32,RPL37,RPL10,RPL7A,RPS3,FAU,RPL30,RPL8,RPL29,RPL9,RPS14,RPL36AL,RPL27A,RPL13,RPS9,RPS21,RPL38,RPL4,RPLP2,RPL14,RPL12,RPS18,RPS28,RPL36A
REAC:72737	Cap-dependent Translation Initiation	5.6e-47	5.6e-47	1	RPL18,RPL31,RPL3,EIF3E,RPS16,RPL18A,RPL28,RPL19,RPL34,RPL24,RPS15,RPL22,RPS25,RPL5,RPL23,RPL36,RPL35,RPS6,RPLP1,RPS24,RPS2,RPS11,RPS8,RPL32,RPL37,RPL10,RPL7A,RPS3,FAU,RPL30,RPL8,RPL29,RPL9,RPS14,RPL36AL,RPL27A,RPL13,RPS9,RPS21,RPL38,RPL4,RPLP2,RPL14,RPL12,RPS18,RPS28,RPL36A
REAC:72702	Ribosomal scanning and start codon recognition	3e-13	3e-13	1	RPS16,RPS15,RPS25,RPS6,RPS24,RPS2,RPS11,RPS8,RPS3,FAU,RPS14,RPS9,RPS21,RPS18,RPS28
REAC:72689	Formation of a pool of free 40S subunits	8.89e-51	8.89e-51	1	RPL18,RPL31,RPL3,EIF3E,RPS16,RPL18A,RPL28,RPL19,RPL34,RPL24,RPS15,RPL22,RPS25,RPL5,RPL23,RPL36,RPL35,RPS6,RPLP1,RPS24,RPS2,RPS11,RPS8,RPL32,RPL37,RPL10,RPL7A,RPS3,FAU,RPL30,RPL8,RPL29,RPL9,RPS14,RPL36AL,RPL27A,RPL13,RPS9,RPS21,RPL38,RPL4,RPLP2,RPL14,RPL12,RPS18,RPS28,RPL36A
REAC:72695	Formation of the ternary complex, and subsequently, the 43S complex	4.06e-14	4.06e-14	1	RPS16,RPS15,RPS25,RPS6,RPS24,RPS2,RPS11,RPS8,RPS3,FAU,RPS14,RPS9,RPS21,RPS18,RPS28
