GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:453274	Mitotic G2-G2/M phases	0.000232	0.000232	1	PSMA4,OFD1,HSP90AA1,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,CEP70,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:69275	G2/M Transition	0.000209	0.000209	1	PSMA4,OFD1,HSP90AA1,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,CEP70,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:8852276	The role of GTSE1 in G2/M progression after G2 checkpoint	2.42e-07	2.42e-07	1	PSMA4,HSP90AA1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:179812	GRB2 events in EGFR signaling	0.0195	0.0195	1	PSMA4,PEBP1,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,LAMTOR2,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:5218921	VEGFR2 mediated cell proliferation	0.0263	0.0263	1	PSMA4,PEBP1,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,LAMTOR2,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:375165	NCAM signaling for neurite out-growth	0.0442	0.0442	1	PSMA4,PEBP1,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,LAMTOR2,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:2586552	Signaling by Leptin	0.0235	0.0235	1	PSMA4,PEBP1,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,LAMTOR2,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:5654706	FRS-mediated FGFR3 signaling	0.0196	0.0196	1	PSMA4,PEBP1,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,LAMTOR2,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:180336	SHC1 events in EGFR signaling	0.0195	0.0195	1	PSMA4,PEBP1,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,LAMTOR2,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:5684996	MAPK1/MAPK3 signaling	0.0224	0.0224	1	PSMA4,PEBP1,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,LAMTOR2,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:5654693	FRS-mediated FGFR1 signaling	0.0196	0.0196	1	PSMA4,PEBP1,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,LAMTOR2,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:5654700	FRS-mediated FGFR2 signaling	0.0196	0.0196	1	PSMA4,PEBP1,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,LAMTOR2,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:451927	Interleukin-2 signaling	0.0168	0.0168	1	PSMA4,PEBP1,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,PTPN6,LAMTOR2,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:512988	Interleukin-3, 5 and GM-CSF signaling	0.0249	0.0249	1	PSMA4,PEBP1,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,PTPN6,LAMTOR2,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:912526	Interleukin receptor SHC signaling	0.0168	0.0168	1	PSMA4,PEBP1,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,PTPN6,LAMTOR2,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:187687	Signalling to ERKs	0.016	0.016	1	RALA,PSMA4,PEBP1,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,LAMTOR2,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:167044	Signalling to RAS	0.0126	0.0126	1	RALA,PSMA4,PEBP1,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,LAMTOR2,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:169893	Prolonged ERK activation events	0.0228	0.0228	1	PSMA4,PEBP1,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,LAMTOR2,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:170984	ARMS-mediated activation	0.0214	0.0214	1	PSMA4,PEBP1,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,LAMTOR2,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:170968	Frs2-mediated activation	0.0221	0.0221	1	PSMA4,PEBP1,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,LAMTOR2,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:187706	Signalling to p38 via RIT and RIN	0.0214	0.0214	1	PSMA4,PEBP1,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,LAMTOR2,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:5654712	FRS-mediated FGFR4 signaling	0.0196	0.0196	1	PSMA4,PEBP1,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,LAMTOR2,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:112412	SOS-mediated signalling	0.0195	0.0195	1	PSMA4,PEBP1,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,LAMTOR2,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:1250347	SHC1 events in ERBB4 signaling	0.0195	0.0195	1	PSMA4,PEBP1,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,LAMTOR2,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:5673001	RAF/MAP kinase cascade	0.0195	0.0195	1	PSMA4,PEBP1,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,LAMTOR2,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:5658442	Regulation of RAS by GAPs	7.26e-07	7.26e-07	1	PSMA4,RBX1,PSMA3,PSMC1,PSMB5,PSME2,PSMA7,SHFM1,PSMB7,RPS27A,PSMD4,PSMC3
REAC:1428517	The citric acid (TCA) cycle and respiratory electron transport	8.06e-17	8.06e-17	1	NDUFAB1,NDUFB2,ETFB,LDHB,NDUFB3,NDUFA8,ATP5E,NDUFA1,COX7C,NDUFA5,NDUFA9,NDUFS6,NDUFB9,UQCRB,SUCLG1,COX6C,NDUFB8,NDUFV1,ATP5H,ATP5I,UQCRH,COX14,NDUFB1,NDUFA13,MT-ND6,MT-CO2,MT-ND3,MT-ATP6,NDUFS3,ATP5O
REAC:163200	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	1.55e-18	1.55e-18	1	NDUFAB1,NDUFB2,ETFB,NDUFB3,NDUFA8,ATP5E,NDUFA1,COX7C,NDUFA5,NDUFA9,NDUFS6,NDUFB9,UQCRB,COX6C,NDUFB8,NDUFV1,ATP5H,ATP5I,UQCRH,COX14,NDUFB1,NDUFA13,MT-ND6,MT-CO2,MT-ND3,MT-ATP6,NDUFS3,ATP5O
