GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:72203	Processing of Capped Intron-Containing Pre-mRNA	2.3e-17	2.3e-17	1	RBM5,SKIV2L2,TPR,ZC3H11A,CCAR1,HNRNPC,NUP50,CDC5L,HNRNPM,SNW1,SRSF5,DDX5,SRSF3,PPWD1,NCBP2,SF3B1,SRSF7,SRSF11,SYF2,SMNDC1,HNRNPA2B1,THOC2,HNRNPR,DNAJC8,HNRNPH2,RBM17,DHX9,NUPL2,SRSF1,DDX46,CWC15,CWC27,HNRNPU,RANBP2,CWC22,U2SURP,SLU7,HNRNPK,PCF11,METTL3,CPSF2,NUDT21,HNRNPH1,CD2BP2,HNRNPA3,PLRG1,CSTF2T,GTF2F2,SRSF10,PRPF40A,DDX42
REAC:72202	Transport of Mature Transcript to Cytoplasm	0.00119	0.00119	1	TPR,ZC3H11A,NUP50,SRSF5,SRSF3,NCBP2,SRSF7,SRSF11,THOC2,NUPL2,SRSF1,RANBP2,SLU7,CPSF2
REAC:159236	Transport of Mature mRNA derived from an Intron-Containing Transcript	0.00126	0.00126	1	TPR,ZC3H11A,NUP50,SRSF5,SRSF3,NCBP2,SRSF7,SRSF11,THOC2,NUPL2,SRSF1,RANBP2,SLU7
REAC:72172	mRNA Splicing	2.9e-17	2.9e-17	1	RBM5,SKIV2L2,CCAR1,HNRNPC,CDC5L,HNRNPM,SNRPD3,SNW1,SRSF5,DDX5,HSPA8,SRSF3,PPWD1,NCBP2,SF3B1,SRSF7,SRSF11,SYF2,SMNDC1,HNRNPA2B1,HNRNPR,DNAJC8,HNRNPH2,RBM17,DHX9,SRSF1,DDX46,POLR2K,CWC15,CWC27,HNRNPU,CWC22,U2SURP,SLU7,HNRNPK,PCF11,CPSF2,NUDT21,HNRNPH1,CD2BP2,HNRNPA3,PLRG1,CLP1,CSTF2T,GTF2F2,SRSF10,PRPF40A,DDX42
REAC:72163	mRNA Splicing - Major Pathway	5.69e-18	5.69e-18	1	RBM5,SKIV2L2,CCAR1,HNRNPC,CDC5L,HNRNPM,SNRPD3,SNW1,SRSF5,DDX5,HSPA8,SRSF3,PPWD1,NCBP2,SF3B1,SRSF7,SRSF11,SYF2,SMNDC1,HNRNPA2B1,HNRNPR,DNAJC8,HNRNPH2,RBM17,DHX9,SRSF1,DDX46,POLR2K,CWC15,CWC27,HNRNPU,CWC22,U2SURP,SLU7,HNRNPK,PCF11,CPSF2,NUDT21,HNRNPH1,CD2BP2,HNRNPA3,PLRG1,CLP1,CSTF2T,GTF2F2,SRSF10,PRPF40A,DDX42
REAC:72187	mRNA 3'-end processing	4.07e-05	4.07e-05	1	ZC3H11A,SRSF5,SRSF3,NCBP2,SRSF11,THOC2,SRSF1,SLU7,PCF11,CPSF2,NUDT21,CSTF2T
REAC:6804756	Regulation of TP53 Activity through Phosphorylation	0.0171	0.0171	1	MRE11A,TAF2,NBN,MAPK14,RAD50,TAF12,DYRK2,PRKAA1,RAD17,HIPK1,TOPBP1,TP53INP1,TAF13
REAC:69620	Cell Cycle Checkpoints	0.00754	0.00754	1	CDC27,MRE11A,ZW10,PSMC6,NBN,RAD50,RANBP2,AHCTF1,UBE2V2,DYNLL2
REAC:69618	Mitotic Spindle Checkpoint	0.0169	0.0169	1	CDC27,CENPQ,KIF2A,DYNC1I2,PPP2R5C,XPO1,ZW10,CDC23,ZWINT,DYNC1LI2,RANBP2,AHCTF1,ZWILCH,DYNC1H1,DYNLL2
REAC:141424	Amplification of signal from the kinetochores	0.0189	0.0189	1	CENPQ,KIF2A,DYNC1I2,PPP2R5C,XPO1,ZW10,ZWINT,DYNC1LI2,RANBP2,AHCTF1,ZWILCH,DYNC1H1,DYNLL2
REAC:141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	0.0189	0.0189	1	CENPQ,KIF2A,DYNC1I2,PPP2R5C,XPO1,ZW10,ZWINT,DYNC1LI2,RANBP2,AHCTF1,ZWILCH,DYNC1H1,DYNLL2
REAC:2990846	SUMOylation	0.022	0.022	1	TPR,TOP2B,HNRNPC,NUP50,STAG2,SMC3,STAG1,NUPL2,RANBP2,XPC,NSMCE2,RAD21,HNRNPK,SP3,SMC5
REAC:3108232	SUMO E3 ligases SUMOylate target proteins	0.0165	0.0165	1	TPR,TOP2B,HNRNPC,NUP50,STAG2,SMC3,STAG1,NUPL2,RANBP2,XPC,NSMCE2,RAD21,HNRNPK,SP3,SMC5
REAC:3108214	SUMOylation of DNA damage response and repair proteins	0.0165	0.0165	1	TPR,NUP50,STAG2,SMC3,STAG1,NUPL2,RANBP2,XPC,NSMCE2,RAD21,SMC5
REAC:1445148	Translocation of GLUT4 to the plasma membrane	0.0148	0.0148	1	RALA,KIFAP3,EXOC1,SNAP23,STX4,C2CD5,EXOC2,STXBP3,YWHAZ
REAC:76042	RNA Polymerase II Transcription Initiation And Promoter Clearance	0.00365	0.00365	1	MNAT1,TAF2,GTF2H1,TAF12,POLR2K,ERCC3,GTF2A1,GTF2F2,GTF2E2,TAF13
REAC:73776	RNA Polymerase II Promoter Escape	0.00365	0.00365	1	MNAT1,TAF2,GTF2H1,TAF12,POLR2K,ERCC3,GTF2A1,GTF2F2,GTF2E2,TAF13
REAC:75953	RNA Polymerase II Transcription Initiation	0.00365	0.00365	1	MNAT1,TAF2,GTF2H1,TAF12,POLR2K,ERCC3,GTF2A1,GTF2F2,GTF2E2,TAF13
REAC:168898	Toll-Like Receptors Cascades	0.043	0.043	1	MEF2A,FBXW11,MAPK1,RIPK2,BIRC2,MAPK14,CREB1,DHX9,RIPK1,CTSK,LY96,MAP2K1,DHX36,PTPN11,TBK1,HMGB1,PIK3R4
REAC:168164	Toll Like Receptor 3 (TLR3) Cascade	0.0171	0.0171	1	MEF2A,FBXW11,MAPK1,RIPK2,BIRC2,MAPK14,CREB1,DHX9,RIPK1,LY96,MAP2K1,PTPN11,TBK1,HMGB1
REAC:166054	Activated TLR4 signalling	0.043	0.043	1	MEF2A,FBXW11,MAPK1,RIPK2,BIRC2,MAPK14,CREB1,DHX9,RIPK1,LY96,MAP2K1,PTPN11,TBK1,HMGB1
REAC:166166	MyD88-independent TLR3/TLR4 cascade 	0.0165	0.0165	1	MEF2A,FBXW11,MAPK1,RIPK2,BIRC2,MAPK14,CREB1,DHX9,RIPK1,LY96,MAP2K1,PTPN11,TBK1,HMGB1
