GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:72306	tRNA processing	0.000157	0.000157	1	NSUN2,TPR,NUP50,MT-CO2,MT-CYB,MT-ND2,MT-ND5,MT-CO1,MT-ND4,MT-ND1,MT-ATP6,MT-CO3,MT-ND4L,MT-ATP8,NSUN6
REAC:6785470	tRNA processing in the mitochondrion	2.22e-07	2.22e-07	1	MT-CO2,MT-CYB,MT-ND2,MT-ND5,MT-CO1,MT-ND4,MT-ND1,MT-ATP6,MT-CO3,MT-ND4L,MT-ATP8
REAC:72203	Processing of Capped Intron-Containing Pre-mRNA	7.08e-17	7.08e-17	1	RBM5,SKIV2L2,TPR,ZC3H11A,CCAR1,SRRT,FUS,NUP50,SRSF5,PABPN1,SNRNP70,DDX5,DHX15,SF3B1,SRSF7,SRSF4,SRSF11,PRPF3,HNRNPA2B1,SRSF6,PPIL4,SNRPA1,SRRM1,RBM17,SRSF1,DDX46,CPSF7,CHTOP,SRSF2,NXF1,U2SURP,SRRM2,HNRNPH1,CSTF3,PRPF40A,DDX42,DDX39B
REAC:72202	Transport of Mature Transcript to Cytoplasm	1.76e-08	1.76e-08	1	TPR,ZC3H11A,SRSF5,SRSF7,SRSF4,SRSF11,SRSF6,SRSF2,NXF1,DDX39B
REAC:159236	Transport of Mature mRNA derived from an Intron-Containing Transcript	6.34e-09	6.34e-09	1	TPR,ZC3H11A,SRSF5,SRSF7,SRSF4,SRSF11,SRSF6,SRSF2,NXF1,DDX39B
REAC:72172	mRNA Splicing	3.37e-15	3.37e-15	1	RBM5,SKIV2L2,CCAR1,SRRT,FUS,SRSF5,PABPN1,SNRNP70,DDX5,DHX15,SF3B1,SRSF7,SRSF4,SRSF11,PRPF3,HNRNPA2B1,SRSF6,PPIL4,SNRPA1,SRRM1,RBM17,SRSF1,DDX46,CPSF7,SRSF2,U2SURP,SRRM2,HNRNPH1,CSTF3,PRPF40A,DDX42
REAC:72163	mRNA Splicing - Major Pathway	8.53e-16	8.53e-16	1	RBM5,SKIV2L2,CCAR1,SRRT,FUS,SRSF5,PABPN1,SNRNP70,DDX5,DHX15,SF3B1,SRSF7,SRSF4,SRSF11,PRPF3,HNRNPA2B1,SRSF6,PPIL4,SNRPA1,SRRM1,RBM17,SRSF1,DDX46,CPSF7,SRSF2,U2SURP,SRRM2,HNRNPH1,CSTF3,PRPF40A,DDX42
REAC:72187	mRNA 3'-end processing	6.49e-10	6.49e-10	1	ZC3H11A,SRSF5,PABPN1,SRSF7,SRSF4,SRSF11,SRSF6,SRSF1,CPSF7,SRSF2,DDX39B
REAC:913531	Interferon Signaling	0.00421	0.00421	1	TPR,IP6K2,EIF4G3,NUP50,GBP3,GBP1,TRIM25,XAF1,EIF4A2,ABCE1,STAT2,UBA7,GBP7
REAC:72312	rRNA processing	0.000365	0.000365	1	SKIV2L2,THUMPD1,NOP2,WDR75,EBNA1BP2,MPHOSPH10,LTV1,WDR43,GNL3,MT-CO2,MT-CYB,MT-ND2,MT-ND5,MT-CO1,MT-ND4,MT-ND1,MT-ATP6,MT-CO3,MT-ND4L,MT-ATP8
