GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:446203	Asparagine N-linked glycosylation	0.039	0.039	1	SEC24A,EDEM3,UAP1,COG3,SEC24B,MARCH6,GOLGB1,MAN2A2
REAC:948021	Transport to the Golgi and subsequent modification	0.0415	0.0415	1	SEC23IP,MAN2A1,SEC24A,GORASP1,SPTBN1,DCTN4,TMED7,COG3,USO1,SEC24B,SAR1B,MIA3,GOLGB1,MAN2A2,F5
REAC:199977	ER to Golgi Anterograde Transport	0.0431	0.0431	1	SEC23IP,SEC24A,GORASP1,SPTBN1,DCTN4,TMED7,COG3,USO1,SEC24B,SAR1B,MIA3,GOLGB1,F5
REAC:72203	Processing of Capped Intron-Containing Pre-mRNA	6.42e-08	6.42e-08	1	RBM5,SKIV2L2,POLR2B,TPR,ZC3H11A,CCAR1,PAPOLA,NUP50,CDC5L,SRSF5,SNRNP70,DDX5,DHX15,SF3B1,SRSF7,SRSF11,PRPF3,SRSF6,NUP153,PPIL4,SRRM1,SRSF1,TRA2B,DDX46,CPSF7,CHTOP,SRSF2,NXF1,CWC22,U2SURP,SRRM2,SF1,HNRNPH1,PRPF40A,DDX42,DDX39B
REAC:72202	Transport of Mature Transcript to Cytoplasm	1.92e-05	1.92e-05	1	TPR,ZC3H11A,SRSF5,SRSF7,SRSF11,SRSF6,NUP153,SRSF2,NXF1,DDX39B
REAC:159236	Transport of Mature mRNA derived from an Intron-Containing Transcript	1.12e-05	1.12e-05	1	TPR,ZC3H11A,SRSF5,SRSF7,SRSF11,SRSF6,NUP153,SRSF2,NXF1,DDX39B
REAC:72172	mRNA Splicing	7.44e-07	7.44e-07	1	RBM5,SKIV2L2,POLR2B,CCAR1,PAPOLA,CDC5L,SRSF5,SNRNP70,DDX5,DHX15,SF3B1,SRSF7,SRSF11,PRPF3,SRSF6,PPIL4,SRRM1,SRSF1,TRA2B,DDX46,CPSF7,SRSF2,CWC22,U2SURP,SRRM2,SF1,HNRNPH1,PRPF40A,DDX42
REAC:72163	mRNA Splicing - Major Pathway	2.68e-07	2.68e-07	1	RBM5,SKIV2L2,POLR2B,CCAR1,PAPOLA,CDC5L,SRSF5,SNRNP70,DDX5,DHX15,SF3B1,SRSF7,SRSF11,PRPF3,SRSF6,PPIL4,SRRM1,SRSF1,TRA2B,DDX46,CPSF7,SRSF2,CWC22,U2SURP,SRRM2,SF1,HNRNPH1,PRPF40A,DDX42
REAC:390918	Peroxisomal lipid metabolism	0.0022	0.0022	1	CROT,ACBD5,EHHADH,SCP2,HAO2,HSD17B4,ACOX1,ACOX2
REAC:1655829	Regulation of cholesterol biosynthesis by SREBP (SREBF)	0.00302	0.00302	1	NFYA,SC5D,SEC24A,GPAM,SEC24B,NCOA2,SAR1B,SP1,PPARA
REAC:535734	Fatty acid, triacylglycerol, and ketone body metabolism	0.00455	0.00455	1	NFYA,NR1H4,EP300,ACADM,GPAM,PRKAB2,HMGCS2,NCOA2,ARNT,MUT,ACSL1,BDH1,ACOX1,BDH2,ABCA1,PEX11A,CYP7A1,ACOT12,SP1,PPARA,ELOVL2
REAC:400206	Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)	0.00563	0.00563	1	NFYA,EP300,ACADM,HMGCS2,NCOA2,ARNT,ACSL1,ACOX1,ABCA1,PEX11A,CYP7A1,SP1,PPARA
REAC:1989781	PPARA activates gene expression	0.00455	0.00455	1	NFYA,EP300,ACADM,HMGCS2,NCOA2,ARNT,ACSL1,ACOX1,ABCA1,PEX11A,CYP7A1,SP1,PPARA
REAC:70326	Glucose metabolism	0.00779	0.00779	1	TPR,NUP50,GYS2,NUP153,ALDOB,PPP2R1B,PFKFB1,ADPGK,UGP2
REAC:425407	SLC-mediated transmembrane transport	0.0266	0.0266	1	SLC7A2,TPR,NUP50,SLC35D1,SLC35A3,NUP153,SLCO1B1,SLC41A2,SLCO2B1,SLC38A4,SLC6A1,SLC2A2,ALB,SLC30A1,SLC22A1,SLC30A10
REAC:211859	Biological oxidations	1.24e-05	1.24e-05	1	GCLC,FMO3,NR1H4,ACSM2B,CYP2D6,CYP3A5,SLC35D1,FDX1,CYP2C9,CYP2C8,NCOA2,ARNT,CYP4V2,GLYAT,UGT2B4,CYP4A22,GLYATL1,CYP7A1,MAT2A,UGP2,ACSM2A,CYP4F12,MARC1,CYP4F3,UGT2B15,CYP2B6,GSTA1
REAC:211945	Phase 1 - Functionalization of compounds	5.64e-05	5.64e-05	1	FMO3,NR1H4,CYP2D6,CYP3A5,FDX1,CYP2C9,CYP2C8,NCOA2,ARNT,CYP4V2,CYP4A22,CYP7A1,CYP4F12,CYP4F3,CYP2B6
REAC:211897	Cytochrome P450 - arranged by substrate type	1.6e-05	1.6e-05	1	NR1H4,CYP2D6,CYP3A5,FDX1,CYP2C9,CYP2C8,NCOA2,ARNT,CYP4V2,CYP4A22,CYP7A1,CYP4F12,CYP4F3,CYP2B6
REAC:156580	Phase II conjugation	0.0387	0.0387	1	GCLC,ACSM2B,SLC35D1,GLYAT,UGT2B4,GLYATL1,MAT2A,UGP2,ACSM2A,UGT2B15,GSTA1
REAC:194068	Bile acid and bile salt metabolism	0.000283	0.000283	1	NR1H4,SLC10A1,SCP2,HSD17B4,SLCO1B1,BAAT,NCOA2,ALB,CYP7A1,ACOX2
REAC:180786	Extension of Telomeres	0.00285	0.00285	-1	RFC2,RPA3,POLD2,POLE4,RPA2,NHP2,POLD4,RUVBL2
REAC:5668541	TNFR2 non-canonical NF-kB pathway	1.26e-11	1.26e-11	-1	TNFRSF12A,PSMB1,PSMC4,PSMC5,PSME1,PSMD8,PSMB5,PSME2,PSMA7,PSMD7,PSMD3,LTBR,PSMF1,PSMB2,SHFM1,UBE2M,PSMB7,PSMB6,PSMA5,PSMD4,PSMB4,PSMC3,PSMD2,PSMD13,PSMB8,PSMB10,UBA52,PSMB9,PSMB3
REAC:5676590	NIK-->noncanonical NF-kB signaling	2.73e-16	2.73e-16	-1	PSMB1,PSMC4,PSMC5,PSME1,PSMD8,PSMB5,PSME2,PSMA7,PSMD7,PSMD3,PSMF1,PSMB2,SHFM1,UBE2M,PSMB7,PSMB6,PSMA5,PSMD4,PSMB4,PSMC3,PSMD2,PSMD13,PSMB8,PSMB10,UBA52,PSMB9,PSMB3
REAC:1632852	Macroautophagy	0.000107	0.000107	-1	GABARAPL2,DYNLL1,CHMP4B,LAMTOR2,CHMP2A,LAMTOR5,MAP1LC3B,LAMTOR1,RRAGA,WIPI2,MTMR14,MLST8,GABARAP,ATG13,CHMP6,LAMTOR4,WDR45,ATG9A
REAC:73893	DNA Damage Bypass	0.00134	0.00134	-1	RFC2,RBX1,RPA3,POLD2,POLE4,MAD2L2,RPA2,UBE2L6,VCP,POLD4,ISG15,UBA52
REAC:110314	Recognition of DNA damage by PCNA-containing replication complex	0.00285	0.00285	-1	RFC2,RBX1,RPA3,POLD2,POLE4,RPA2,POLD4,UBA52
REAC:110313	Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	0.000839	0.000839	-1	RFC2,RPA3,POLD2,POLE4,MAD2L2,RPA2,UBE2L6,VCP,POLD4,ISG15,UBA52
REAC:5656169	Termination of translesion DNA synthesis	0.00308	0.00308	-1	RFC2,RPA3,POLD2,POLE4,RPA2,UBE2L6,POLD4,ISG15,UBA52
REAC:5619115	Disorders of transmembrane transporters	2.2e-13	2.2e-13	-1	PSMB1,PSMC4,PSMC5,PSME1,PSMD8,PSMB5,PSME2,PSMA7,PSMD7,PSMD3,PSMF1,PSMB2,SHFM1,PSMB7,PSMB6,PSMA5,PSMD4,PSMB4,VCP,PSMC3,PSMD2,PSMD13,PSMB8,PSMB10,UBA52,PSMB9,PSMB3
