Type,Family id,Family name,Target id,Target name,Subunits,Target systematic name,Target abbreviated name,synonyms,HGNC id,HGNC symbol,HGNC name,Human genetic localisation,Human nucleotide RefSeq,Human protein RefSeq,Human SwissProt,Human Entrez Gene,RGD id,RGD symbol,RGD name,Rat genetic localisation,Rat nucleotide RefSeq,Rat protein RefSeq,Rat SwissProt,Rat Entrez Gene,MGI id,MGI symbol,MGI name,Mouse genetic localisation,Mouse nucleotide RefSeq,Mouse protein RefSeq,Mouse SwissProt,Mouse Entrez Gene
vgic,69,Calcium- and sodium-activated potassium channels,380,K<sub>Ca</sub>1.1,,,,"BK channel|maxi K<sup>+</sup> channel|BK channel alpha subunit|calcium-activated potassium channel alpha subunit|maxi K channel|slo-alpha|slowpoke homolog|potassium channel, calcium activated large conductance subfamily M alpha, member 1|potassium large conductance calcium-activated channel",6284,KCNMA1,potassium calcium-activated channel subfamily M alpha 1,10q22.3,NM_001014797,NP_001014797,Q12791,3778,620715,Kcnma1,potassium calcium-activated channel subfamily M alpha 1,15p16,NM_031828,NP_114016,Q62976,83731,MGI:99923,Kcnma1,"potassium large conductance calcium-activated channel, subfamily M, alpha member 1",14 A3,NM_010610,NP_034740,Q08460,16531
vgic,69,Calcium- and sodium-activated potassium channels,381,K<sub>Ca</sub>2.1,,,,"SK1|SKCa1|small conductance calcium-activated potassium channel protein 1|potassium channel, calcium activated intermediate/small conductance subfamily N alpha, member 1|potassium intermediate/small conductance calcium-activated channel",6290,KCNN1,potassium calcium-activated channel subfamily N member 1,19p13.1,NM_002248,NP_002239,Q92952,3780,2962,Kcnn1,potassium calcium-activated channel subfamily N member 1,16p14,NM_019313,NP_062186,P70606,54261,MGI:1933993,Kcnn1,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1",8 B3.3,NM_032397,NP_115773,Q9EQR3,84036
vgic,69,Calcium- and sodium-activated potassium channels,382,K<sub>Ca</sub>2.2,,,,"SK2|SKCa2|small conductance calcium-activated potassium channel 2|potassium channel, calcium activated intermediate/small conductance subfamily N alpha, member 2|potassium intermediate/small conductance calcium-activated channel",6291,KCNN2,potassium calcium-activated channel subfamily N member 2,5q22.3,NM_170775|NM_021614,NP_740721|NP_067627,Q9H2S1,3781,2963,Kcnn2,potassium calcium-activated channel subfamily N member 2,18q11,NM_019314,NP_062187,P70604,54262,MGI:2153182,Kcnn2,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2",18 C,NM_080465,NP_536713,P58390,140492
vgic,69,Calcium- and sodium-activated potassium channels,383,K<sub>Ca</sub>2.3,,,,"SK3|SKCa3|small conductance calcium-activated potassium channel 3|potassium channel, calcium activated intermediate/small conductance subfamily N alpha, member 3|potassium intermediate/small conductance calcium-activated channel",6292,KCNN3,potassium calcium-activated channel subfamily N member 3,1q21.3,NM_002249|NM_170782,NP_002240|NP_740752,Q9UGI6,3782,2964,Kcnn3,potassium calcium-activated channel subfamily N member 3,2q34,NM_019315,NP_062188,P70605,54263,MGI:2153183,Kcnn3,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3",3 F2,NM_080466,NP_536714,P58391,140493
vgic,69,Calcium- and sodium-activated potassium channels,384,K<sub>Ca</sub>3.1,,,,"Gardos channel|IK<sub>Ca</sub>1|Ik1|KCa4|intermediate-conductance Ca-activated K channel|SK4|potassium channel, calcium activated intermediate/small conductance subfamily N alpha, member 4|potassium intermediate/small conductance calcium-activated channel",6293,KCNN4,potassium calcium-activated channel subfamily N member 4,19q13.2,NM_002250,NP_002241,O15554,3783,621476,Kcnn4,potassium calcium-activated channel subfamily N member 4,1q21,NM_023021,NP_075410,Q9QYW1,65206,MGI:1277957,Kcnn4,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4",7 A3,NM_008433,NP_032459,O89109,16534
vgic,69,Calcium- and sodium-activated potassium channels,385,K<sub>Na</sub>1.1,,,,"<em>Slo2.2</em>|KCa4.1|Slack|potassium channel, sodium activated subfamily T, member 1|potassium channel, sodium-activated subfamily T, member 1|potassium channel",18865,KCNT1,potassium sodium-activated channel subfamily T member 1,9q34.3,NM_020822,NP_065873,Q5JUK3,57582,621106,Kcnt1,potassium sodium-activated channel subfamily T member 1,3p13,NM_021853,NP_068625,Q9Z258,60444,MGI:1924627,Kcnt1,"potassium channel, subfamily T, member 1",2 A3,NM_175462,NP_780671,Q6ZPR4,227632
vgic,69,Calcium- and sodium-activated potassium channels,386,K<sub>Na</sub>1.2,,,,"KCa4.2|sodium and chloride-activated ATP-sensitive potassium channel|Slick|Slo2.1|potassium channel, sodium activated subfamily T, member 2|potassium channel, sodium-activated subfamily T, member 2|potassium channel",18866,KCNT2,potassium sodium-activated channel subfamily T member 2,1q31.3,NM_198503,NP_940905,Q6UVM3,343450,735074,Kcnt2,potassium sodium-activated channel subfamily T member 2,13q13,NM_198762,NP_942057,Q6UVM4,304827,MGI:3036273,Kcnt2,"potassium channel, subfamily T, member 2",1F,NM_001081027,NP_001074496,,240776
vgic,69,Calcium- and sodium-activated potassium channels,387,K<sub>Ca</sub>5.1,,,,Kcnma3|KCNMC1|Slo3|potassium channel,18867,KCNU1,potassium calcium-activated channel subfamily U member 1,8p11.22,NM_001031836,NP_001027006,A8MYU2,157855,1585877,Kcnu1,potassium calcium-activated channel subfamily U member 1,16q12.4,,,,680912,MGI:1202300,Kcnu1,"potassium channel, subfamily U, member 1",8 A3,NM_008432,NP_032458,O54982,16532
vgic,70,CatSper and Two-Pore channels,388,CatSper1,,,,"Cation channel of sperm|cation channel sperm-associated protein 1|CatSper (mouse)|SPGF7 (human)|cation channel, sperm associated 1|cation channel",17116,CATSPER1,cation channel sperm associated 1,11q12.1,NM_053054,NP_444282,Q8NEC5,117144,1593515,Catsper1,"cation channel, sperm associated 1",1q43,,,,689349,MGI:2179947,Catsper1,"cation channel, sperm associated 1",19 A,NM_139301,NP_647462,Q91ZR5,225865
vgic,70,CatSper and Two-Pore channels,389,CatSper2,,,,Cation channel of sperm; 2|cation channel,18810,CATSPER2,cation channel sperm associated 2,15q14,NM_172095|NM_054020,NP_742095|NP_742093|NP_473361,Q96P56,117155,1307620,Catsper2,"cation channel, sperm associated 2",3q35,NM_001012220,NP_001012220,Q6AXP6,366174,MGI:2387404,Catsper2,"cation channel, sperm associated 2",2 E5,NM_153075,NP_694715,A2ARP9,212670
